transcript_link,date,parsed_date,title,date_from_title,upload_date,duration,youtube_link
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412181000,2014-12-18 10:00:00,2014-12-18,"Riigikogu istung, 18.detsember 2014",2014-12-18,1970-01-01,01:35:58,https://www.youtube.com/watch?v=1VUo-s90EGY
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171400,2014-12-17 14:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171300,2014-12-17 13:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
/et/201412171300,2014-12-17 13:00:00,2014-12-17,"Riigikogu infotund, 17. detsember 2014",2014-12-17,1970-01-01,00:59:55,https://www.youtube.com/watch?v=LzDcx33yG00
