title,date_from_title,upload_date,duration,youtube_link
"Riigikogu istung, 24.03.2025",2025-03-24,1970-01-01,02:29:10,https://www.youtube.com/watch?v=Y7x9NqGRCkA
"Riigikogu istung, 20.03.2025",2025-03-20,1970-01-01,02:31:06,https://www.youtube.com/watch?v=hgdsu3MOsIE
"Riigikogu infotund, 19.03.2025",2025-03-19,1970-01-01,01:55:16,https://www.youtube.com/watch?v=ie8V_N24C-o
"Riigikogu istung, 19.03.2025",2025-03-19,1970-01-01,04:25:10,https://www.youtube.com/watch?v=-hGwo27tYlk
"Riigikogu istung, 18.03.2025",2025-03-18,1970-01-01,03:01:29,https://www.youtube.com/watch?v=B5vH9N7uVIY
"Riigikogu istung, 17.03.2025",2025-03-17,1970-01-01,05:33:20,https://www.youtube.com/watch?v=k7AOu4SSaYM
"Riigikogu istung, 13.03.2025",2025-03-13,1970-01-01,01:50:08,https://www.youtube.com/watch?v=Wa55gtZGj6s
"Riigikogu istung, 12.03.2025",2025-03-12,1970-01-01,01:14:41,https://www.youtube.com/watch?v=1RW8f0P38Co
"Riigikogu infotund, 12.03.2025",2025-03-12,1970-01-01,01:57:44,https://www.youtube.com/watch?v=M41Fn_YgyfQ
"Riigikogu istung, 11.03.2025",2025-03-11,1970-01-01,02:47:04,https://www.youtube.com/watch?v=XwRbiSHn0LE
"Riigikogu istung, 10.03.2025",2025-03-10,1970-01-01,02:25:00,https://www.youtube.com/watch?v=CRgkh7u-c-4
"Riigikogu istung, 27.02.2025",2025-02-27,1970-01-01,03:29:13,https://www.youtube.com/watch?v=IAsySMmD5_A
"Riigikogu istung, 26.02.2025",2025-02-26,1970-01-01,02:28:22,https://www.youtube.com/watch?v=X21_iWW79iA
"Riigikogu infotund, 26.02.2025",2025-02-26,1970-01-01,01:54:07,https://www.youtube.com/watch?v=zHwnWCige6U
"Riigikogu istung, 25.02.2025",2025-02-25,1970-01-01,05:08:26,https://www.youtube.com/watch?v=jXBSX6M9sHc
"Riigikogu istung,19.02.2025",2025-02-19,1970-01-01,04:58:53,https://www.youtube.com/watch?v=_lQ06R-nWa8
"Riigikogu infotund, 19.02.2025",2025-02-19,1970-01-01,01:54:48,https://www.youtube.com/watch?v=49xceAKbZ48
"Riigikogu istung,18.02.2025",2025-02-18,1970-01-01,02:13:09,https://www.youtube.com/watch?v=GuwwoUmbxPI
"Riigikogu istung,13.02.2025",2025-02-13,1970-01-01,00:50:22,https://www.youtube.com/watch?v=RP3A1vlFOuM
"Riigikogu istung, 12.02.2025",2025-02-12,1970-01-01,05:26:37,https://www.youtube.com/watch?v=EdjUeW-SCXE
"Riigikogu infotund, 12.02.2025",2025-02-12,1970-01-01,01:45:21,https://www.youtube.com/watch?v=ngKYYBqbnzg
"Riigikogu istung, 11.02.2025",2025-02-11,1970-01-01,04:00:36,https://www.youtube.com/watch?v=Ly56WyVH_6Q
"Riigikogu istung, 10.02.2025",2025-02-10,1970-01-01,03:10:58,https://www.youtube.com/watch?v=hNJfBGzOwG0
"Riigikogu istung, 30.01.2025",2025-01-30,1970-01-01,00:47:25,https://www.youtube.com/watch?v=gWRZhalJ-Fw
"Riigikogu istung, 29.01.2025",2025-01-29,1970-01-01,01:58:35,https://www.youtube.com/watch?v=cftbwUG5YVI
"Riigikogu infotund, 29.01.2025",2025-01-29,1970-01-01,01:57:32,https://www.youtube.com/watch?v=dTH4AUPtsiA
"Riigikogu istung, 28.01.2025",2025-01-28,1970-01-01,02:10:38,https://www.youtube.com/watch?v=m1B7hVKdirA
"Riigikogu istung, 27.01.2025",2025-01-27,1970-01-01,02:16:35,https://www.youtube.com/watch?v=hz1A9AoeiJw
"Riigikogu istung, 23.01.2025",2025-01-23,1970-01-01,00:03:37,https://www.youtube.com/watch?v=gXdzgvn3fpM
"Riigikogu istung, 22.01.2025",2025-01-22,1970-01-01,07:23:32,https://www.youtube.com/watch?v=jyLYRcZ-JLg
"Riigikogu infotund, 22.01.2025",2025-01-22,1970-01-01,01:57:26,https://www.youtube.com/watch?v=_RP_FRjgwpA
"Riigikogu istung, 21.01.2025",2025-01-21,1970-01-01,04:03:15,https://www.youtube.com/watch?v=VGHf8SAqhbA
"Riigikogu istung, 16.01.2025",2025-01-16,1970-01-01,01:47:36,https://www.youtube.com/watch?v=iFecIUKOfDg
"Riigikogu istung, 15.01.2025",2025-01-15,1970-01-01,02:29:27,https://www.youtube.com/watch?v=ocprzqzLMsA
"Riigikogu infotund, 15.01.2025",2025-01-15,1970-01-01,01:55:45,https://www.youtube.com/watch?v=O-PF-0j9t70
"Riigikogu istung, 19.12.2024",2024-12-19,1970-01-01,00:45:58,https://www.youtube.com/watch?v=lwF-qiud-i0
"Riigikogu istung, 18.12.2024",2024-12-18,1970-01-01,02:59:55,https://www.youtube.com/watch?v=-nWG420HIxo
"Riigikogu infotund, 18.12.2024",2024-12-18,1970-01-01,01:53:21,https://www.youtube.com/watch?v=YNw-yDaKTjk
"Riigikogu istung, 17.12. 2024",2024-12-17,1970-01-01,01:43:31,https://www.youtube.com/watch?v=k9uo_h5e9Ik
"Riigikogu istung, 12.12. 2024",2024-12-12,1970-01-01,01:53:21,https://www.youtube.com/watch?v=E9_h86rXTMU
"Riigikogu istung, 9.12. 2024",2024-12-09,1970-01-01,03:20:26,https://www.youtube.com/watch?v=2iLp0_GaNgI
"Riigikogu istung, 5.12. 2024",2024-12-05,1970-01-01,02:00:11,https://www.youtube.com/watch?v=Q2Hju_Y0IiQ
"Riigikogu istung, 4.12. 2024 II osa",2024-12-04,1970-01-01,07:15:42,https://www.youtube.com/watch?v=NplrhmfARAo
"Riigikogu istung, 4.12. 2024 I osa",2024-12-04,1970-01-01,05:12:51,https://www.youtube.com/watch?v=tORWLHDRxzk
"Riigikogu istung, 3.12. 2024",2024-12-03,1970-01-01,02:47:16,https://www.youtube.com/watch?v=cSktnA4cNIE
"Riigikogu istung, 2.12. 2024",2024-12-02,1970-01-01,02:36:28,https://www.youtube.com/watch?v=_B24ePhJrmY
"Riigikogu istung, 21.11.2024",2024-11-21,1970-01-01,03:54:52,https://www.youtube.com/watch?v=wGHUI7APtqM
"Riigikogu istung, 20.11.2024",2024-11-20,1970-01-01,11:02:57,https://www.youtube.com/watch?v=onN7KCTCtbg
"Riigikogu infotund, 20.11.2024",2024-11-20,1970-01-01,01:55:38,https://www.youtube.com/watch?v=NShXX_Q4okE
"Riigikogu istung, 19.11.2024",2024-11-19,1970-01-01,00:29:21,https://www.youtube.com/watch?v=U09NFJINsB0
"Riigikogu istung, 14.11.2024",2024-11-14,1970-01-01,00:55:55,https://www.youtube.com/watch?v=ZpmjjTHRZzw
"Riigikogu istung, 13.11.2024, II osa",2024-11-13,1970-01-01,07:49:21,https://www.youtube.com/watch?v=M4_zbfHrZxw
"Riigikogu istung, 13.11.2024, I osa",2024-11-13,1970-01-01,05:32:27,https://www.youtube.com/watch?v=pg1WWgZb1HU
"Riigikogu istung, 12.11.2024",2024-11-12,1970-01-01,01:42:59,https://www.youtube.com/watch?v=i3nNVq8PMA8
"Riigikogu istung, 11.11.2024",2024-11-11,1970-01-01,06:03:50,https://www.youtube.com/watch?v=qfJLsKcgigk
"Riigikogu istung, 7.11.2024",2024-11-07,1970-01-01,02:56:29,https://www.youtube.com/watch?v=BWjK18K6Iv8
"Riigikogu istung, 6.11.2024",2024-11-06,1970-01-01,05:17:08,https://www.youtube.com/watch?v=BEv9yCt8170
"Riigikogu infotund, 6.11.2024",2024-11-06,1970-01-01,01:55:23,https://www.youtube.com/watch?v=e-q4ifiXKSo
"Riigikogu istung, 5.11.2024",2024-11-05,1970-01-01,03:59:26,https://www.youtube.com/watch?v=Y2ZyObo_atM
"Riigikogu istung, 4.11.2024",2024-11-04,1970-01-01,03:45:30,https://www.youtube.com/watch?v=pSU8OGCBhlQ
"Riigikogu istung, 24.10.2024",2024-10-24,1970-01-01,01:00:13,https://www.youtube.com/watch?v=bKLho2-NIgM
"Riigikogu istung, 23.10.2024",2024-10-23,1970-01-01,09:31:17,https://www.youtube.com/watch?v=nM-yrUmswkY
"Riigikogu infotund, 23.10.2024",2024-10-23,1970-01-01,01:55:47,https://www.youtube.com/watch?v=wG3rDRBJKSs
"Riigikogu istung, 22.10.2024",2024-10-22,1970-01-01,03:59:51,https://www.youtube.com/watch?v=eNbgXNlzF0g
"Riigikogu istung, 21.10.2024",2024-10-21,1970-01-01,06:36:56,https://www.youtube.com/watch?v=pNXkhjDDL2o
"Riigikogu istung, 16.10.2024",2024-10-16,1970-01-01,09:11:10,https://www.youtube.com/watch?v=zTQrIDYKPGw
"Riigikogu istung, 17.10.2024",2024-10-17,1970-01-01,00:38:42,https://www.youtube.com/watch?v=B9R60RhwnsE
"Riigikogu infotund, 16.10.2024",2024-10-16,1970-01-01,01:54:22,https://www.youtube.com/watch?v=76PaBDSEFdE
"Riigikogu istung, 15.10.2024",2024-10-15,1970-01-01,04:00:33,https://www.youtube.com/watch?v=FVlNNfJoezQ
"Riigikogu istung, 14.10.2024",2024-10-14,1970-01-01,04:54:06,https://www.youtube.com/watch?v=K1qIcso_4j8
"Riigikogu istung, 10.10.2024",2024-10-10,1970-01-01,00:59:07,https://www.youtube.com/watch?v=gdVV9Zw9cX0
"Riigikogu istung, 9.10.2024",2024-10-09,1970-01-01,01:31:03,https://www.youtube.com/watch?v=XDMqtw63OMU
"Riigikogu istung, 8.10.2024",2024-10-08,1970-01-01,01:14:27,https://www.youtube.com/watch?v=2vxyRvmJ9N0
"Riigikogu istung, 7.10.2024",2024-10-07,1970-01-01,02:42:03,https://www.youtube.com/watch?v=BfZQQ7H6rEI
"Riigikogu istung, 25.09.2024",2024-09-25,1970-01-01,06:57:52,https://www.youtube.com/watch?v=tEoL6p8r8HI
"Riigikogu infotund, 25.09.2024",2024-09-25,1970-01-01,01:54:55,https://www.youtube.com/watch?v=oP6HGjqp9rQ
"Riigikogu istung, 24.09.2024",2024-09-24,1970-01-01,01:13:06,https://www.youtube.com/watch?v=GqC6n8J1Wz0
"Riigikogu istung, 23.09.2024",2024-09-23,1970-01-01,02:06:49,https://www.youtube.com/watch?v=U27l1xBNwp4
