transcript_link,date,youtube_link
/et/202105191400,2021-05-19 14:00:00,https://www.youtube.com/watch?v=o5mZYOSVe3I
/et/202105191400,2021-05-19 14:00:00,https://www.youtube.com/watch?v=5zMp7g3XAcE
/et/202105201000,2021-05-20 10:00:00,https://www.youtube.com/watch?v=crJVxpNkQB4
/et/202105311500,2021-05-31 15:00:00,https://www.youtube.com/watch?v=ML6WiBVr2EM
/et/202106011000,2021-06-01 10:00:00,
/et/202106021200,2021-06-02 12:00:00,https://www.youtube.com/watch?v=ZqxsxMbAgbw
/et/202106021400,2021-06-02 14:00:00,https://www.youtube.com/watch?v=kY2armlb2os
/et/202106031000,2021-06-03 10:00:00,https://www.youtube.com/watch?v=EOxGJsbiWDw
/et/202106071500,2021-06-07 15:00:00,https://www.youtube.com/watch?v=zVqguU0CO34
/et/202106081000,2021-06-08 10:00:00,https://www.youtube.com/watch?v=rXQza6sSAQM
/et/202106091200,2021-06-09 12:00:00,https://www.youtube.com/watch?v=7v-Qp0Q5XVA
/et/202106091400,2021-06-09 14:00:00,https://www.youtube.com/watch?v=oA1SYCBcsWI
/et/202106091400,2021-06-09 14:00:00,https://www.youtube.com/watch?v=GvvXrZfVBoQ
/et/202106101000,2021-06-10 10:00:00,https://www.youtube.com/watch?v=H-wIhRPWZkE
/et/202106120900,2021-06-12 09:00:00,https://www.youtube.com/watch?v=XexaRuacGTI
/et/202106131000,2021-06-13 10:00:00,https://www.youtube.com/watch?v=CaVUdro5Nbc
/et/202106131000,2021-06-13 10:00:00,https://www.youtube.com/watch?v=4dPLafve5jk
/et/202106141500,2021-06-14 15:00:00,https://www.youtube.com/watch?v=XgLm-unszzw
/et/202106151000,2021-06-15 10:00:00,https://www.youtube.com/watch?v=hDRNKfVrtm0
/et/202106161200,2021-06-16 12:00:00,https://www.youtube.com/watch?v=DWlwCo7yAxE
/et/202106161400,2021-06-16 14:00:00,https://www.youtube.com/watch?v=Q7mSbUW96sI
/et/202106161400,2021-06-16 14:00:00,https://www.youtube.com/watch?v=EEBZ7jxansk
/et/202106171000,2021-06-17 10:00:00,https://www.youtube.com/watch?v=StTo1NgIoCE
/et/202108201200,2021-08-20 12:00:00,
/et/202108301300,2021-08-30 13:00:00,https://www.youtube.com/watch?v=Vr_zZ8bLQSQ
/et/202108311200,2021-08-31 12:00:00,https://www.youtube.com/watch?v=xyLosdeO6ro
/et/202109131500,2021-09-13 15:00:00,https://www.youtube.com/watch?v=moK-a1GS6-M
/et/202109141000,2021-09-14 10:00:00,https://www.youtube.com/watch?v=UAHKHT1AucY
/et/202109151200,2021-09-15 12:00:00,https://www.youtube.com/watch?v=thGjMwwX-L8
/et/202109151400,2021-09-15 14:00:00,https://www.youtube.com/watch?v=buzCQN0SFbw
/et/202109161000,2021-09-16 10:00:00,https://www.youtube.com/watch?v=_1GENOaKYok
/et/202109201500,2021-09-20 15:00:00,https://www.youtube.com/watch?v=YGfK8K7dm9Q
/et/202109211000,2021-09-21 10:00:00,https://www.youtube.com/watch?v=mzCerMGxKsA
/et/202109221200,2021-09-22 12:00:00,https://www.youtube.com/watch?v=aZcePbP75IA
/et/202109221400,2021-09-22 14:00:00,https://www.youtube.com/watch?v=jhpF1Ji_U-A
/et/202109231000,2021-09-23 10:00:00,https://www.youtube.com/watch?v=9LUjvu-9vH0
/et/202109271500,2021-09-27 15:00:00,https://www.youtube.com/watch?v=RfLmNCqj47I
/et/202109281000,2021-09-28 10:00:00,
/et/202109291200,2021-09-29 12:00:00,https://www.youtube.com/watch?v=l4g6nv2wORw
/et/202109291400,2021-09-29 14:00:00,https://www.youtube.com/watch?v=fwTK9m0XnHM
/et/202109301000,2021-09-30 10:00:00,https://www.youtube.com/watch?v=i-M0F4EP3-I
/et/202110111500,2021-10-11 15:00:00,https://www.youtube.com/watch?v=Ba-bo5wxiyU
/et/202110121001,2021-10-12 10:01:00,https://www.youtube.com/watch?v=-T6_VSooeeo
/et/202110131200,2021-10-13 12:00:00,https://www.youtube.com/watch?v=RaLNsLr3-pU
/et/202110131400,2021-10-13 14:00:00,https://www.youtube.com/watch?v=ZIwDaVlHtO8
/et/202110141000,2021-10-14 10:00:00,https://www.youtube.com/watch?v=sdjL3x_RkSQ
/et/202110181500,2021-10-18 15:00:00,https://www.youtube.com/watch?v=owLERIcOEwo
/et/202110191000,2021-10-19 10:00:00,https://www.youtube.com/watch?v=qAySH26dpfs
/et/202110201200,2021-10-20 12:00:00,https://www.youtube.com/watch?v=gas6ylFaVVA
/et/202110201400,2021-10-20 14:00:00,https://www.youtube.com/watch?v=0up-nITZWz8
/et/202110211000,2021-10-21 10:00:00,https://www.youtube.com/watch?v=DvNHwTCgrbw
/et/202110251500,2021-10-25 15:00:00,https://www.youtube.com/watch?v=hVFA915xQu0
/et/202110261000,2021-10-26 10:00:00,https://www.youtube.com/watch?v=EPgipt9OWMw
/et/202110271200,2021-10-27 12:00:00,https://www.youtube.com/watch?v=2qtuGL9AXsY
/et/202110271400,2021-10-27 14:00:00,https://www.youtube.com/watch?v=olwaPIY3SbA
/et/202110281000,2021-10-28 10:00:00,https://www.youtube.com/watch?v=N8qAvHwkxgY
/et/202111081500,2021-11-08 15:00:00,
/et/202111091000,2021-11-09 10:00:00,https://www.youtube.com/watch?v=MC8-aJ76O78
/et/202111101200,2021-11-10 12:00:00,https://www.youtube.com/watch?v=kPt24TxdiPI
/et/202111101400,2021-11-10 14:00:00,https://www.youtube.com/watch?v=r6L57HJZlRI
/et/202111111000,2021-11-11 10:00:00,
/et/202111151500,2021-11-15 15:00:00,https://www.youtube.com/watch?v=wilmA9FRnQM
/et/202111161000,2021-11-16 10:00:00,https://www.youtube.com/watch?v=WANwq3fcnnw
/et/202111171200,2021-11-17 12:00:00,https://www.youtube.com/watch?v=JKvVTsNV568
