transcript_link,youtube_link,date,normalized_youtube_link
/et/202411141000,https://www.youtube.com/watch?v=ZpmjjTHRZzw,2024-11-14 10:00:00,
/et/202410231400,https://www.youtube.com/watch?v=nM-yrUmswkY,2024-10-23 14:00:00,
/et/202410231200,https://www.youtube.com/watch?v=nM-yrUmswkY,2024-10-23 12:00:00,wG3rDRBJKSs
/et/202410141500,https://www.youtube.com/watch?v=K1qIcso_4j8,2024-10-14 15:00:00,
/et/202409241000,https://www.youtube.com/watch?v=GqC6n8J1Wz0,2024-09-24 10:00:00,
/et/202409171000,https://www.youtube.com/watch?v=vIoL6FzTmVI,2024-09-17 10:00:00,
/et/202409121000,https://www.youtube.com/watch?v=MUbyCr3tWpM,2024-09-12 10:00:00,
/et/202409111400,https://www.youtube.com/watch?v=t24FbyhjWqo,2024-09-11 14:00:00,pu3qOwJHIaM
/et/202409111200,https://www.youtube.com/watch?v=t24FbyhjWqo,2024-09-11 12:00:00,
/et/202407151000,https://www.youtube.com/watch?v=_BrIjy1LL6I,2024-07-15 10:00:00,
/et/202405291400,https://www.youtube.com/watch?v=TqdCqMYcI5c,2024-05-29 14:00:00,_lk3UzRRleY
/et/202405291200,https://www.youtube.com/watch?v=TqdCqMYcI5c,2024-05-29 12:00:00,
/et/202405281000,https://www.youtube.com/watch?v=yhX0Qb1AYHM,2024-05-28 10:00:00,
/et/202405161000,https://www.youtube.com/watch?v=iXl1urmokGs,2024-05-16 10:00:00,
/et/202405091000,https://www.youtube.com/watch?v=NKUVMTSpbls,2024-05-09 10:00:00,
/et/202404301000,https://www.youtube.com/watch?v=HKRWsQlUaXo,2024-04-30 10:00:00,
/et/202404101400,https://www.youtube.com/watch?v=-t5vNcTUTXc,2024-04-10 14:00:00,eK9_5moezXQ
/et/202404101200,https://www.youtube.com/watch?v=-t5vNcTUTXc,2024-04-10 12:00:00,
/et/202403211000,https://www.youtube.com/watch?v=mRBOJ-ayLNo,2024-03-21 10:00:00,
/et/202403201400,https://www.youtube.com/watch?v=xWcYyqcM3TA,2024-03-20 14:00:00,-L9mh0pv3DQ
/et/202403201200,https://www.youtube.com/watch?v=xWcYyqcM3TA,2024-03-20 12:00:00,
/et/202403051000,https://www.youtube.com/watch?v=xN9jDkkKgcw,2024-03-05 10:00:00,
/et/202402211400,https://www.youtube.com/watch?v=7FMSfHo3IGw,2024-02-21 14:00:00,59u0oSN_0N8
/et/202402211200,https://www.youtube.com/watch?v=7FMSfHo3IGw,2024-02-21 12:00:00,
/et/202402151000,https://www.youtube.com/watch?v=pFPZBjllztQ,2024-02-15 10:00:00,
/et/202401161000,https://www.youtube.com/watch?v=VbFBwHQJbRc,2024-01-16 10:00:00,
/et/202311201500,https://www.youtube.com/watch?v=EejYkCV1rZI,2023-11-20 15:00:00,WS01aqP6uhQ
/et/202311081400,https://www.youtube.com/watch?v=bHZUg5OWCXk,2023-11-08 14:00:00,eZYZ76AMz4k
/et/202311081400,https://www.youtube.com/watch?v=bHZUg5OWCXk,2023-11-08 14:00:00,wEoJN2o_LY4
/et/202311081200,https://www.youtube.com/watch?v=bHZUg5OWCXk,2023-11-08 12:00:00,
/et/202310111400,https://www.youtube.com/watch?v=OAsZbH0v8m8,2023-10-11 14:00:00,
/et/202310111200,https://www.youtube.com/watch?v=OAsZbH0v8m8,2023-10-11 12:00:00,B1ur5O2m6uA
/et/202305151500,https://www.youtube.com/watch?v=l9FeUMO-_Y0,2023-05-15 15:00:00,
/et/202305121500,https://www.youtube.com/watch?v=oYNmI4NXL20,2023-05-12 15:00:00,
/et/202305121500,https://www.youtube.com/watch?v=J1yyf8jm_g8,2023-05-12 15:00:00,
/et/202305121500,https://www.youtube.com/watch?v=9X135PQcpgI,2023-05-12 15:00:00,
/et/202305121500,https://www.youtube.com/watch?v=o4bEH6L36qk,2023-05-12 15:00:00,
/et/202305111000,https://www.youtube.com/watch?v=ll_7-imsm-0,2023-05-11 10:00:00,
/et/202305101400,https://www.youtube.com/watch?v=oUEiPIsuJRQ,2023-05-10 14:00:00,
