transcript_link,youtube_link,date
/et/201412181000,,2014-12-18 10:00:00
/et/201412171400,,2014-12-17 14:00:00
/et/201412171300,,2014-12-17 13:00:00
/et/201412161000,,2014-12-16 10:00:00
/et/201412151500,,2014-12-15 15:00:00
/et/201412111000,,2014-12-11 10:00:00
/et/201412101400,,2014-12-10 14:00:00
/et/201412101300,,2014-12-10 13:00:00
/et/201412091000,,2014-12-09 10:00:00
/et/201412081500,,2014-12-08 15:00:00
/et/201412041000,,2014-12-04 10:00:00
/et/201412031400,,2014-12-03 14:00:00
/et/201412031300,,2014-12-03 13:00:00
/et/201412021000,,2014-12-02 10:00:00
/et/201412011500,,2014-12-01 15:00:00
/et/201411201000,,2014-11-20 10:00:00
/et/201411191400,,2014-11-19 14:00:00
/et/201411191300,,2014-11-19 13:00:00
/et/201411181000,,2014-11-18 10:00:00
/et/201411171500,,2014-11-17 15:00:00
/et/201411131000,,2014-11-13 10:00:00
/et/201411121400,,2014-11-12 14:00:00
/et/201411121300,,2014-11-12 13:00:00
/et/201411111000,,2014-11-11 10:00:00
/et/201411101500,,2014-11-10 15:00:00
/et/201411061000,,2014-11-06 10:00:00
/et/201411051400,,2014-11-05 14:00:00
/et/201411051300,,2014-11-05 13:00:00
/et/201411041000,,2014-11-04 10:00:00
/et/201411031500,,2014-11-03 15:00:00
/et/201410231000,,2014-10-23 10:00:00
/et/201410221400,,2014-10-22 14:00:00
/et/201410221300,,2014-10-22 13:00:00
/et/201410211000,,2014-10-21 10:00:00
/et/201410201500,,2014-10-20 15:00:00
/et/201410161000,,2014-10-16 10:00:00
/et/201410151400,,2014-10-15 14:00:00
/et/201410151300,,2014-10-15 13:00:00
/et/201410141000,,2014-10-14 10:00:00
/et/201410131500,,2014-10-13 15:00:00
/et/201410091000,,2014-10-09 10:00:00
/et/201410081400,,2014-10-08 14:00:00
/et/201410081300,,2014-10-08 13:00:00
/et/201410071000,,2014-10-07 10:00:00
/et/201410061500,,2014-10-06 15:00:00
/et/201409251000,,2014-09-25 10:00:00
/et/201409241400,,2014-09-24 14:00:00
/et/201409241300,,2014-09-24 13:00:00
/et/201409231000,,2014-09-23 10:00:00
/et/201409221500,,2014-09-22 15:00:00
/et/201409181000,,2014-09-18 10:00:00
/et/201409171400,,2014-09-17 14:00:00
/et/201409171300,,2014-09-17 13:00:00
/et/201409161000,,2014-09-16 10:00:00
/et/201409151500,,2014-09-15 15:00:00
/et/201409111000,,2014-09-11 10:00:00
/et/201409101400,,2014-09-10 14:00:00
/et/201409101300,,2014-09-10 13:00:00
/et/201409091000,,2014-09-09 10:00:00
/et/201409081500,,2014-09-08 15:00:00
/et/201407011200,,2014-07-01 12:00:00
/et/201406301000,,2014-06-30 10:00:00
/et/201406201000,,2014-06-20 10:00:00
/et/201406191000,,2014-06-19 10:00:00
/et/201406181400,,2014-06-18 14:00:00
/et/201406181300,,2014-06-18 13:00:00
/et/201406171000,,2014-06-17 10:00:00
/et/201406161500,,2014-06-16 15:00:00
/et/201406121000,,2014-06-12 10:00:00
/et/201406111400,,2014-06-11 14:00:00
/et/201406111300,,2014-06-11 13:00:00
/et/201406101000,,2014-06-10 10:00:00
/et/201406091500,,2014-06-09 15:00:00
/et/201406051000,,2014-06-05 10:00:00
/et/201406041400,,2014-06-04 14:00:00
/et/201406041300,,2014-06-04 13:00:00
/et/201406031000,,2014-06-03 10:00:00
/et/201406021500,,2014-06-02 15:00:00
/et/201405221000,,2014-05-22 10:00:00
/et/201405211400,,2014-05-21 14:00:00
/et/201405211300,,2014-05-21 13:00:00
/et/201405201000,,2014-05-20 10:00:00
/et/201405191500,,2014-05-19 15:00:00
/et/201405151000,,2014-05-15 10:00:00
/et/201405141400,,2014-05-14 14:00:00
/et/201405141300,,2014-05-14 13:00:00
/et/201405131000,,2014-05-13 10:00:00
/et/201405121500,,2014-05-12 15:00:00
/et/201405081000,,2014-05-08 10:00:00
/et/201405071400,,2014-05-07 14:00:00
/et/201405071300,,2014-05-07 13:00:00
/et/201405061000,,2014-05-06 10:00:00
/et/201405051500,,2014-05-05 15:00:00
/et/201404241000,,2014-04-24 10:00:00
/et/201404231400,,2014-04-23 14:00:00
/et/201404231300,,2014-04-23 13:00:00
/et/201404221000,,2014-04-22 10:00:00
/et/201404211500,,2014-04-21 15:00:00
/et/201404171000,,2014-04-17 10:00:00
/et/201404161400,,2014-04-16 14:00:00
/et/201404161300,,2014-04-16 13:00:00
/et/201404151000,,2014-04-15 10:00:00
/et/201404141500,,2014-04-14 15:00:00
/et/201404101000,,2014-04-10 10:00:00
/et/201404091400,,2014-04-09 14:00:00
/et/201404091300,,2014-04-09 13:00:00
/et/201404081000,,2014-04-08 10:00:00
/et/201404071500,,2014-04-07 15:00:00
/et/201403271000,,2014-03-27 10:00:00
/et/201403261400,,2014-03-26 14:00:00
/et/201403261300,,2014-03-26 13:00:00
/et/201403251000,,2014-03-25 10:00:00
/et/201403241500,,2014-03-24 15:00:00
/et/201403201000,,2014-03-20 10:00:00
/et/201403191400,,2014-03-19 14:00:00
/et/201403191300,,2014-03-19 13:00:00
/et/201403181000,,2014-03-18 10:00:00
/et/201403171500,,2014-03-17 15:00:00
/et/201403131000,,2014-03-13 10:00:00
/et/201403121400,,2014-03-12 14:00:00
/et/201403121300,,2014-03-12 13:00:00
/et/201403111000,,2014-03-11 10:00:00
/et/201403101500,,2014-03-10 15:00:00
/et/201403051600,,2014-03-05 16:00:00
/et/201403051200,,2014-03-05 12:00:00
/et/201402271000,,2014-02-27 10:00:00
/et/201402261400,,2014-02-26 14:00:00
/et/201402261300,,2014-02-26 13:00:00
/et/201402251000,,2014-02-25 10:00:00
/et/201402201000,,2014-02-20 10:00:00
/et/201402191400,,2014-02-19 14:00:00
/et/201402191300,,2014-02-19 13:00:00
/et/201402181000,,2014-02-18 10:00:00
/et/201402171500,,2014-02-17 15:00:00
/et/201402131000,,2014-02-13 10:00:00
/et/201402121400,,2014-02-12 14:00:00
/et/201402121300,,2014-02-12 13:00:00
/et/201402111000,,2014-02-11 10:00:00
/et/201402101500,,2014-02-10 15:00:00
/et/201401301000,,2014-01-30 10:00:00
/et/201401291400,,2014-01-29 14:00:00
/et/201401291300,,2014-01-29 13:00:00
/et/201401281000,,2014-01-28 10:00:00
/et/201401271500,,2014-01-27 15:00:00
/et/201401231000,,2014-01-23 10:00:00
/et/201401221400,,2014-01-22 14:00:00
/et/201401221300,,2014-01-22 13:00:00
/et/201401211000,,2014-01-21 10:00:00
/et/201401201500,,2014-01-20 15:00:00
/et/201401161000,,2014-01-16 10:00:00
/et/201401151400,,2014-01-15 14:00:00
/et/201401151300,,2014-01-15 13:00:00
/et/201401141000,,2014-01-14 10:00:00
/et/201401131500,,2014-01-13 15:00:00
/et/201512171000,,2015-12-17 10:00:00
/et/201512161400,,2015-12-16 14:00:00
/et/201512161300,,2015-12-16 13:00:00
/et/201512151000,,2015-12-15 10:00:00
/et/201512141500,,2015-12-14 15:00:00
/et/201512101000,,2015-12-10 10:00:00
/et/201512091400,,2015-12-09 14:00:00
/et/201512091300,,2015-12-09 13:00:00
/et/201512081000,,2015-12-08 10:00:00
/et/201512071500,,2015-12-07 15:00:00
/et/201511261000,,2015-11-26 10:00:00
/et/201511251400,,2015-11-25 14:00:00
/et/201511251300,,2015-11-25 13:00:00
/et/201511241000,,2015-11-24 10:00:00
/et/201511231500,,2015-11-23 15:00:00
/et/201511191000,,2015-11-19 10:00:00
/et/201511181400,,2015-11-18 14:00:00
/et/201511181300,,2015-11-18 13:00:00
/et/201511171000,,2015-11-17 10:00:00
/et/201511161500,,2015-11-16 15:00:00
/et/201511121000,,2015-11-12 10:00:00
/et/201511111400,,2015-11-11 14:00:00
/et/201511111300,,2015-11-11 13:00:00
/et/201511101000,,2015-11-10 10:00:00
/et/201511091500,,2015-11-09 15:00:00
/et/201510291000,,2015-10-29 10:00:00
/et/201510281400,,2015-10-28 14:00:00
/et/201510281300,,2015-10-28 13:00:00
/et/201510271000,,2015-10-27 10:00:00
/et/201510261500,,2015-10-26 15:00:00
/et/201510221000,,2015-10-22 10:00:00
/et/201510211400,,2015-10-21 14:00:00
/et/201510211300,,2015-10-21 13:00:00
/et/201510201000,,2015-10-20 10:00:00
/et/201510191500,,2015-10-19 15:00:00
/et/201510151000,,2015-10-15 10:00:00
/et/201510141400,,2015-10-14 14:00:00
/et/201510141300,,2015-10-14 13:00:00
/et/201510131000,,2015-10-13 10:00:00
/et/201510121500,,2015-10-12 15:00:00
/et/201510011000,,2015-10-01 10:00:00
/et/201509301400,,2015-09-30 14:00:00
/et/201509301300,,2015-09-30 13:00:00
/et/201509291000,,2015-09-29 10:00:00
/et/201509281500,,2015-09-28 15:00:00
/et/201509241000,,2015-09-24 10:00:00
/et/201509231400,,2015-09-23 14:00:00
/et/201509231300,,2015-09-23 13:00:00
/et/201509221000,,2015-09-22 10:00:00
/et/201509211500,,2015-09-21 15:00:00
/et/201509171000,,2015-09-17 10:00:00
/et/201509161400,,2015-09-16 14:00:00
/et/201509161300,,2015-09-16 13:00:00
/et/201509151000,,2015-09-15 10:00:00
/et/201509141500,,2015-09-14 15:00:00
/et/201508181400,,2015-08-18 14:00:00
/et/201507161300,,2015-07-16 13:00:00
/et/201506152320,,2015-06-15 23:20:00
/et/201506151100,,2015-06-15 11:00:00
/et/201506111000,,2015-06-11 10:00:00
/et/201506101400,,2015-06-10 14:00:00
/et/201506101300,,2015-06-10 13:00:00
/et/201506091000,,2015-06-09 10:00:00
/et/201506081500,,2015-06-08 15:00:00
/et/201506041000,,2015-06-04 10:00:00
/et/201506031400,,2015-06-03 14:00:00
/et/201506031300,,2015-06-03 13:00:00
/et/201506021000,,2015-06-02 10:00:00
/et/201506011500,,2015-06-01 15:00:00
/et/201505281000,,2015-05-28 10:00:00
