date,session_title,link_to_session
3.12.2024,23. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=2665&ConvernerId=1
22.10.2024,"22. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2646&ConvernerId=1
28.8.2024,21. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2633&ConvernerId=1
16.7.2024,"20. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2624&ConvernerId=1
16.7.2024,"14. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2630&ConvernerId=1
3.7.2024,Nastavak 19. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (glasanje),https://parlament.ba/session/OSessionDetails?id=2619&ConvernerId=1
20.6.2024,19. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2608&ConvernerId=1
21.5.2024,18. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2597&ConvernerId=1
18.4.2024,"13. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2595&ConvernerId=1
2.4.2024,17. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2588&ConvernerId=1
8.3.2024,"12. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2581&ConvernerId=1
8.3.2024,"11. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2578&ConvernerId=1
28.2.2024,"16. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2565&ConvernerId=1
30.1.2024,"15. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2551&ConvernerId=1
