link,title,date,transcript_link,subtitles_link,mp4_links,514_mp4_truncated
https://www.bundestag.de/mediathek?videoid=7533172#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"14. Januar 2022 
12. Sitzung vom 14.01.2022 14. Januar 2022",14.01.2022,https://dipbt.bundestag.de/dip21/btp/20/20012.pdf#P.709,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7533172/7533172.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7533172/7533172_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7533172/7533172_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7533172/7533172_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7533172/7533172_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7532711#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"15. Dezember 2021 
8. Sitzung vom 15.12.2021 15. Dezember 2021",15.12.2021,https://dipbt.bundestag.de/dip21/btp/20/20008.pdf#P.333,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532711/7532711.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532711/7532711_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532711/7532711_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532711/7532711_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532711/7532711_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7532534#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"7. Dezember 2021 
4. Sitzung vom 07.12.2021 7. Dezember 2021",07.12.2021,https://dipbt.bundestag.de/dip21/btp/20/20004.pdf#P.195,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532534/7532534.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532534/7532534_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532534/7532534_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532534/7532534_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532534/7532534_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7532379#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"18. November 2021 
3. Sitzung vom 18.11.2021 18. November 2021",18.11.2021,https://dipbt.bundestag.de/dip21/btp/20/20003.pdf#P.115,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532379/7532379.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532379/7532379_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532379/7532379_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532379/7532379_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532379/7532379_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7531836#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. August 2021 
238. Sitzung vom 25.08.2021 25. August 2021",25.08.2021,https://dipbt.bundestag.de/dip21/btp/19/19238.pdf#P.30993,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7531836/7531836.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7531836/7531836_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7531836/7531836_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7531836/7531836_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7531836/7531836_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7526642#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"11. Juni 2021 
234. Sitzung vom 11.06.2021 11. Juni 2021",11.06.2021,https://dipbt.bundestag.de/dip21/btp/19/19234.pdf#P.30251,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526642/7526642.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526642/7526642_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526642/7526642_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526642/7526642_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526642/7526642_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7532235#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"11. November 2021 
2. Sitzung vom 11.11.2021 11. November 2021",11.11.2021,https://dipbt.bundestag.de/dip21/btp/20/20002.pdf#P.31,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532235/7532235.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532235/7532235_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532235/7532235_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532235/7532235_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532235/7532235_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7530847#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. Juni 2021 
237. Sitzung vom 25.06.2021 25. Juni 2021",25.06.2021,https://dipbt.bundestag.de/dip21/btp/19/19237.pdf#P.30883,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7530847/7530847.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7530847/7530847_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7530847/7530847_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7530847/7530847_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7530847/7530847_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7526387#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"10. Juni 2021 
233. Sitzung vom 10.06.2021 10. Juni 2021",10.06.2021,https://dipbt.bundestag.de/dip21/btp/19/19233.pdf#P.29935,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526387/7526387.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526387/7526387_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526387/7526387_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526387/7526387_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7526387/7526387_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7532159#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"26. Oktober 2021 
1. Sitzung vom 26.10.2021 26. Oktober 2021",26.10.2021,https://dipbt.bundestag.de/dip21/btp/20/20001.pdf#P.1,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532159/7532159.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532159/7532159_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532159/7532159_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532159/7532159_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7532159/7532159_h264_512_288_514kb_baseline_de_514.mp4
