convocation,session,order_no,transcript_url,recording_url
XI,4,40,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016911,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22277
XI,4,39,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016910,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22278
XI,4,38,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016909,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22276
XI,4,37,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016908,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22275
XI,4,36,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016907,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22274
XI,4,35,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016906,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22273
XI,4,34,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016902,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22270
XI,4,33,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016901,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22269
XI,4,32,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016900,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22208
XI,4,31,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016899,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22279
XI,4,30,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016893,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22233
XI,4,29,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016892,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22242
XI,4,28,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016891,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22238
XI,4,27,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016890,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22241
XI,4,26,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016889,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22239
XI,4,25,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016888,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22261
XI,4,24,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016887,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22247
XI,4,17,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016874,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22246
XI,4,16,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016873,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22264
XI,4,15,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016872,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22260
XI,4,14,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016871,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22262
XI,4,13,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016870,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22263
XI,4,12,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016869,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22155
XI,4,11,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016868,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22154
XI,4,10,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016867,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22153
XI,4,9,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016866,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22152
XI,4,8,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016865,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22151
XI,4,7,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016864,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22156
XI,4,6,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016863,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22157
XI,4,5,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016862,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22209
XI,4,4,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016861,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22164
