transcript_id,generic_video_link,html_link
XI_4_40,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22277,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016911
XI_4_39,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22278,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016910
XI_4_38,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22276,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016909
XI_4_37,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22275,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016908
XI_4_36,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22274,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016907
XI_4_35,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22273,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016906
XI_4_34,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22270,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016902
XI_4_33,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22269,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016901
XI_4_32,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22208,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016900
XI_4_31,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22279,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016899
XI_4_30,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22233,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016893
XI_4_29,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22242,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016892
XI_4_28,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22238,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016891
XI_4_27,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22241,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016890
XI_4_26,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22239,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016889
XI_4_25,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22261,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016888
XI_4_24,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22247,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016887
XI_4_17,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22246,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016874
XI_4_16,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22264,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016873
XI_4_15,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22260,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016872
XI_4_14,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22262,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016871
XI_4_13,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22263,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016870
XI_4_12,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22155,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016869
XI_4_11,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22154,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016868
XI_4_10,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22153,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016867
XI_4_9,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22152,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016866
XI_4_8,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22151,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016865
XI_4_7,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22156,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016864
XI_4_6,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22157,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016863
XI_4_5,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22209,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016862
XI_4_4,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=22164,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016861
XI_4_3,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21885,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016860
XI_4_2,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21888,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016859
XI_4_1,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21889,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016858
XI_4_-,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21858,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016857
XI_3_74,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21575,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016855
XI_3_73,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21578,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016854
XI_3_72,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21566,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016853
XI_3_71,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21842,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016849
XI_3_70,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21841,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016848
XI_3_69,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21840,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016847
XI_3_68,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21610,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016846
XI_3_67,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21824,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016845
XI_3_66,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21514,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016844
XI_3_65,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21850,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016843
XI_3_64,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21849,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016842
XI_3_63,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21845,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016841
XI_3_62,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21837,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016840
XI_3_61,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21836,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016839
XI_3_60,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21835,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016838
XI_3_59,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21834,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016837
XI_3_58,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21833,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016836
XI_3_57,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21832,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016835
XI_3_56,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21831,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016834
XI_3_55,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21830,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016833
XI_3_54,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21829,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016832
XI_3_53,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21828,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016831
XI_3_52,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21827,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016830
XI_3_51,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21826,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016829
XI_3_50,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21825,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016828
XI_3_49,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21498,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016827
XI_3_48,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21838,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016826
XI_3_47,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21844,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016825
XI_3_46,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21542,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016824
XI_3_45,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21500,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016823
XI_3_44,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21499,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016822
XI_3_43,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21847,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016821
XI_3_42,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21560,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016820
XI_3_41,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21571,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016819
XI_3_40,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21574,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016818
XI_3_39,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21568,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016817
XI_3_38,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21580,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016816
XI_3_37,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21570,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016815
XI_3_36,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21579,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016814
XI_3_35,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21569,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016813
XI_3_34,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21573,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016812
XI_3_33,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21584,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016811
XI_3_32,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21582,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016810
XI_3_31,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21625,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016809
XI_3_30,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21800,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016808
