date,sitting_number,html_link,pdf_link,month,legislation,year
Sabato 28 Dicembre 2013,158,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=733911,https://www.senato.it/service/PDF/PDFServer/BGT/733911.pdf,Dicembre,17,2013
Lunedì 23 Dicembre 2013,157,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=733905,https://www.senato.it/service/PDF/PDFServer/BGT/733905.pdf,Dicembre,17,2013
Giovedì 19 Dicembre 2013,156,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=733537,https://www.senato.it/service/PDF/PDFServer/BGT/733537.pdf,Dicembre,17,2013
Mercoledì 18 Dicembre 2013,154,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=733400,https://www.senato.it/service/PDF/PDFServer/BGT/733400.pdf,Dicembre,17,2013
Mercoledì 18 Dicembre 2013,155,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=733455,https://www.senato.it/service/PDF/PDFServer/BGT/733455.pdf,Dicembre,17,2013
Martedì 17 Dicembre 2013,153,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=732554,https://www.senato.it/service/PDF/PDFServer/BGT/732554.pdf,Dicembre,17,2013
Giovedì 12 Dicembre 2013,151,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=730615,https://www.senato.it/service/PDF/PDFServer/BGT/730615.pdf,Dicembre,17,2013
Giovedì 12 Dicembre 2013,152,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=731370,https://www.senato.it/service/PDF/PDFServer/BGT/731370.pdf,Dicembre,17,2013
Mercoledì 11 Dicembre 2013,149,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=730557,https://www.senato.it/service/PDF/PDFServer/BGT/730557.pdf,Dicembre,17,2013
Mercoledì 11 Dicembre 2013,150,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=730600,https://www.senato.it/service/PDF/PDFServer/BGT/730600.pdf,Dicembre,17,2013
Martedì 10 Dicembre 2013,148,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=730175,https://www.senato.it/service/PDF/PDFServer/BGT/730175.pdf,Dicembre,17,2013
Giovedì 05 Dicembre 2013,147,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=729883,https://www.senato.it/service/PDF/PDFServer/BGT/729883.pdf,Dicembre,17,2013
Mercoledì 04 Dicembre 2013,146,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728948,https://www.senato.it/service/PDF/PDFServer/BGT/728948.pdf,Dicembre,17,2013
Martedì 03 Dicembre 2013,145,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728921,https://www.senato.it/service/PDF/PDFServer/BGT/728921.pdf,Dicembre,17,2013
Giovedì 28 Novembre 2013,143,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728733,https://www.senato.it/service/PDF/PDFServer/BGT/728733.pdf,Novembre,17,2013
Giovedì 28 Novembre 2013,144,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728731,https://www.senato.it/service/PDF/PDFServer/BGT/728731.pdf,Novembre,17,2013
Mercoledì 27 Novembre 2013,142,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728654,https://www.senato.it/service/PDF/PDFServer/BGT/728654.pdf,Novembre,17,2013
Martedì 26 Novembre 2013,141,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=728587,https://www.senato.it/service/PDF/PDFServer/BGT/728587.pdf,Novembre,17,2013
Lunedì 25 Novembre 2013,140,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=727876,https://www.senato.it/service/PDF/PDFServer/BGT/727876.pdf,Novembre,17,2013
Venerdì 22 Novembre 2013,139,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=727226,https://www.senato.it/service/PDF/PDFServer/BGT/727226.pdf,Novembre,17,2013
