label,date,title,session_number,detail_link
ASSEMBLEA,2024-12-05T10:00:00Z,Seduta di Assemblea n. 250,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-250-1
ASSEMBLEA,2024-12-04T10:00:00Z,Seduta di Assemblea n. 249,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-249-1
ASSEMBLEA,2024-12-03T16:30:00Z,Seduta di Assemblea n. 248,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-248-1
ASSEMBLEA,2024-11-28T09:00:00Z,Seduta di Assemblea n. 247,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-247-1
ASSEMBLEA,2024-11-27T10:00:00Z,Seduta di Assemblea n. 246,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-246-1
ASSEMBLEA,2024-11-26T16:30:00Z,Seduta di Assemblea n. 245,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-245-1
ASSEMBLEA,2024-11-21T10:00:00Z,Seduta di Assemblea n. 244,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-244-1
ASSEMBLEA,2024-11-20T10:00:00Z,Seduta di Assemblea n. 243,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-243-1
ASSEMBLEA,2024-11-19T16:30:00Z,Seduta di Assemblea n. 242,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-242-1
ASSEMBLEA,2024-11-11T16:30:00Z,Seduta di Assemblea n. 241,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-241-1
ASSEMBLEA,2024-11-07T10:00:00Z,Seduta di Assemblea n.240,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n240
ASSEMBLEA,2024-11-06T10:00:00Z,Seduta di Assemblea n. 239,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-239-1
ASSEMBLEA,2024-11-05T16:30:00Z,Seduta di Assemblea n. 238,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-238-1
ASSEMBLEA,2024-10-31T09:30:00Z,Seduta di Assemblea n. 237,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-237-1
ASSEMBLEA,2024-10-30T10:00:00Z,Seduta di Assemblea n. 236,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-236-1
ASSEMBLEA,2024-10-29T16:30:00Z,Seduta di Assemblea n. 235,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-235-1
ASSEMBLEA,2024-10-22T18:00:00Z,Seduta di Assemblea n. 234,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-234-1
ASSEMBLEA,2024-10-17T09:00:00Z,Seduta n. 233,,https://webtv.senato.it/webtv/assemblea/seduta-n-233
ASSEMBLEA,2024-10-16T10:00:00Z,Seduta di Assemblea n. 232,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-232-1
ASSEMBLEA,2024-10-15T09:30:00Z,Seduta di Assemblea n. 231,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-231-1
ASSEMBLEA,2024-10-10T10:00:00Z,Seduta di Assemblea n. 230,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-230-1
ASSEMBLEA,2024-10-09T10:00:00Z,Seduta di Assemblea n. 229,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-229-1
ASSEMBLEA,2024-10-03T10:00:00Z,Seduta di Assemblea n. 228,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-228-1
ASSEMBLEA,2024-10-02T10:00:00Z,Seduta di Assemblea n. 227,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-227-1
ASSEMBLEA,2024-10-01T10:00:00Z,Seduta di Assemblea n. 226,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-226-1
ASSEMBLEA,2024-09-30T16:00:00Z,Seduta di Assemblea n. 225,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-225-1
ASSEMBLEA,2024-09-26T10:00:00Z,Seduta di Assemblea n. 224,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-224-1
ASSEMBLEA,2024-09-24T16:30:00Z,Seduta di Assemblea n. 223,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-223-1
ASSEMBLEA,2024-09-19T10:00:00Z,Seduta di Assemblea n. 222,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-222-1
ASSEMBLEA,2024-09-18T11:00:00Z,Seduta di Assemblea n. 221,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-221-1
ASSEMBLEA,2024-09-17T16:30:00Z,Seduta di Assemblea n. 220,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-220-1
ASSEMBLEA,2024-09-12T10:00:00Z,Seduta di Assemblea n. 219,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-219-1
ASSEMBLEA,2024-09-11T16:30:00Z,Seduta di Assemblea n. 218,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-218-1
