video_id,generic_video_link,html_link,pdf_link,date,legislation,sitting_number,streaming_url
18_116,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-116-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1112214,https://www.senato.it/service/PDF/PDFServer/BGT/1112214.pdf,2019-05-30,18,116,https://senato-vod.morescreens.com/vod_hls/605110890_20190530_1200_aula_seduta_116.mp4/playlist.m3u8?id=605110890&video_id=12716&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
17_663,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-663,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=983237,https://www.senato.it/service/PDF/PDFServer/BGT/983237.pdf,2016-07-20,17,663,https://senato-vod.morescreens.com/vod_hls/866495356_201607200930_aula_seduta_663.mp4/playlist.m3u8?id=866495356&video_id=5154&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
19_153,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-153-1,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1404524,https://www.senato.it/service/PDF/PDFServer/BGT/1404524.pdf,2024-02-01,19,153,"https://senato-vod.morescreens.com/vod_hls/20240201_1500_aula_seduta_153_1080p_,360p,480p,576p,720p,1080p,.mp4.urlset/playlist.m3u8?id=video_65bbbdcb1ab720.44200704&video_id=25175&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
18_115,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-115-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1112104,https://www.senato.it/service/PDF/PDFServer/BGT/1112104.pdf,2019-05-29,18,115,https://senato-vod.morescreens.com/vod_hls/1696899850_20190529_1500_aula_seduta_115.mp4/playlist.m3u8?id=1696899850&video_id=12713&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
19_152,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-152-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1404279,https://www.senato.it/service/PDF/PDFServer/BGT/1404279.pdf,2024-01-31,19,152,"https://senato-vod.morescreens.com/vod_hls/20240131_1000_aula_seduta_152_,360p,480p,576p,720p,1080p,.mp4.urlset/playlist.m3u8?id=video_65ba94446ebbb4.68541254&video_id=25155&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
17_467,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-467,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=925832,https://www.senato.it/service/PDF/PDFServer/BGT/925832.pdf,2015-06-17,17,467,"https://senato-vod.morescreens.com/vod_hls/seduta_467_20150617_,300k,.mp4.urlset/playlist.m3u8?id=&video_id=3343&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
17_662,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-662,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=983148,https://www.senato.it/service/PDF/PDFServer/BGT/983148.pdf,2016-07-19,17,662,https://senato-vod.morescreens.com/vod_hls/1446048274_20160719_1630_aula_seduta_662.mp4/playlist.m3u8?id=1446048274&video_id=5151&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
19_151,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-151-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1404117,https://www.senato.it/service/PDF/PDFServer/BGT/1404117.pdf,2024-01-30,19,151,"https://senato-vod.morescreens.com/vod_hls/20240130_1630_aula_seduta_151_1080p_,360p,480p,576p,720p,1080p,.mp4.urlset/playlist.m3u8?id=video_65b94148754862.63211854&video_id=25132&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
17_466,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-466,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=925806,https://www.senato.it/service/PDF/PDFServer/BGT/925806.pdf,2015-06-17,17,466,"https://senato-vod.morescreens.com/vod_hls/seduta_466_20150617_,300k,.mp4.urlset/playlist.m3u8?id=&video_id=3341&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
18_114,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-114-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1111985,https://www.senato.it/service/PDF/PDFServer/BGT/1111985.pdf,2019-05-28,18,114,https://senato-vod.morescreens.com/vod_hls/1174281033_20190528_1630_Aula_seduta114.mp4/playlist.m3u8?id=1174281033&video_id=12702&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
17_661,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-661,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=982806,https://www.senato.it/service/PDF/PDFServer/BGT/982806.pdf,2016-07-14,17,661,https://senato-vod.morescreens.com/vod_hls/1606963963_20160714_1600_aula_661.mp4/playlist.m3u8?id=1606963963&video_id=5124&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
19_150,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-150-1,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1403062,https://www.senato.it/service/PDF/PDFServer/BGT/1403062.pdf,2024-01-25,19,150,"https://senato-vod.morescreens.com/vod_hls/20240125_1000_aula_seduta_150_,360p,480p,576p,720p,1080p,.mp4.urlset/playlist.m3u8?id=video_65b27b4cb100c2.23064613&video_id=25070&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
17_465,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-465,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=925746,https://www.senato.it/service/PDF/PDFServer/BGT/925746.pdf,2015-06-16,17,465,"https://senato-vod.morescreens.com/vod_hls/seduta_465_20150616_,300k,.mp4.urlset/playlist.m3u8?id=&video_id=3340&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
18_113,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-113,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1111564,https://www.senato.it/service/PDF/PDFServer/BGT/1111564.pdf,2019-05-15,18,113,https://senato-vod.morescreens.com/vod_hls/522433109_20190515_0930_aula_seduta_113(1).mp4/playlist.m3u8?id=522433109&video_id=12687&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
17_660,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-660,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=982808,https://www.senato.it/service/PDF/PDFServer/BGT/982808.pdf,2016-07-14,17,660,https://senato-vod.morescreens.com/vod_hls/1378518438_20160714_0930_aula_seduta_660.mp4/playlist.m3u8?id=1378518438&video_id=5118&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
18_112,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-112-0,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1111304,https://www.senato.it/service/PDF/PDFServer/BGT/1111304.pdf,2019-05-14,18,112,https://senato-vod.morescreens.com/vod_hls/946519332_20190514_1630_aula_seduta_112.mp4/playlist.m3u8?id=946519332&video_id=12677&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx
17_464,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-464,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=17&id=925133,https://www.senato.it/service/PDF/PDFServer/BGT/925133.pdf,2015-06-11,17,464,"https://senato-vod.morescreens.com/vod_hls/seduta_464_20150611_,300k,600k,.mp4.urlset/playlist.m3u8?id=&video_id=3334&token=&authority_instance_id=empty&profile_id=empty&application_installation_id=empty&uuid=empty&subscriber_id=empty&application_id=empty&detected_delivery_method=hls&playlist_template=nginx"
