transcript_id,doc_link,docx_link,transcript_title,date,video_id,mp3_link,video_title,merged_id
lithuania_2024_eilinė_2_0_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/ae44cd200b2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 28 (2025-03-27),27032025,lithuania_0_27032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4ADD67FA-0F0E-4D8A-AABD-5A7F28CD9D3D,,lithuania_2024_eilinė_2_0_27032025_lithuania_0_27032025
lithuania_2024_eilinė_2_0_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/ae44cd200b2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 28 (2025-03-27),27032025,lithuania_1_27032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=3B1F8812-18E5-4F3C-871C-7753B58804B1,,lithuania_2024_eilinė_2_0_27032025_lithuania_1_27032025
lithuania_2024_eilinė_2_1_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/df30af000b3411f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 29 (2025-03-27),27032025,lithuania_0_27032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4ADD67FA-0F0E-4D8A-AABD-5A7F28CD9D3D,,lithuania_2024_eilinė_2_1_27032025_lithuania_0_27032025
lithuania_2024_eilinė_2_1_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/df30af000b3411f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 29 (2025-03-27),27032025,lithuania_1_27032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=3B1F8812-18E5-4F3C-871C-7753B58804B1,,lithuania_2024_eilinė_2_1_27032025_lithuania_1_27032025
lithuania_2024_eilinė_2_2_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/d9b2b8e0098e11f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 26 (2025-03-25),25032025,lithuania_2_25032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=D746D9D8-6DA2-4161-A2E6-A74C3FF54FAF,,lithuania_2024_eilinė_2_2_25032025_lithuania_2_25032025
lithuania_2024_eilinė_2_2_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/d9b2b8e0098e11f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 26 (2025-03-25),25032025,lithuania_3_25032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=FEC10448-C276-4EA4-9099-689C6EA7C6D1,,lithuania_2024_eilinė_2_2_25032025_lithuania_3_25032025
lithuania_2024_eilinė_2_3_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/c19205600a2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 27 (2025-03-25),25032025,lithuania_2_25032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=D746D9D8-6DA2-4161-A2E6-A74C3FF54FAF,,lithuania_2024_eilinė_2_3_25032025_lithuania_2_25032025
lithuania_2024_eilinė_2_3_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/c19205600a2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 27 (2025-03-25),25032025,lithuania_3_25032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=FEC10448-C276-4EA4-9099-689C6EA7C6D1,,lithuania_2024_eilinė_2_3_25032025_lithuania_3_25032025
lithuania_2024_eilinė_2_4_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/9e66dbe005a111f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 24 (2025-03-20),20032025,lithuania_4_20032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4AF5C050-2745-4944-A932-BC6D1571860A,,lithuania_2024_eilinė_2_4_20032025_lithuania_4_20032025
lithuania_2024_eilinė_2_4_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/9e66dbe005a111f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 24 (2025-03-20),20032025,lithuania_5_20032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=CEE0B2EC-48C3-4B37-8FB9-BA3ACFB67F41,,lithuania_2024_eilinė_2_4_20032025_lithuania_5_20032025
lithuania_2024_eilinė_2_5_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/4beda590063e11f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 25 (2025-03-20),20032025,lithuania_4_20032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4AF5C050-2745-4944-A932-BC6D1571860A,,lithuania_2024_eilinė_2_5_20032025_lithuania_4_20032025
lithuania_2024_eilinė_2_5_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/4beda590063e11f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 25 (2025-03-20),20032025,lithuania_5_20032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=CEE0B2EC-48C3-4B37-8FB9-BA3ACFB67F41,,lithuania_2024_eilinė_2_5_20032025_lithuania_5_20032025
lithuania_2024_eilinė_2_6_18032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/578331a0041711f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 22 (2025-03-18),18032025,lithuania_6_18032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=67732125-D2AF-49C2-A1E8-BA32CFC90CD1,,lithuania_2024_eilinė_2_6_18032025_lithuania_6_18032025
lithuania_2024_eilinė_2_7_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/7073d8d0001c11f0878bc971e70c4c04/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 20 (2025-03-13),13032025,lithuania_7_13032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=9CEE076B-F354-4151-8BC8-CF7D66937856,,lithuania_2024_eilinė_2_7_13032025_lithuania_7_13032025
lithuania_2024_eilinė_2_7_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/7073d8d0001c11f0878bc971e70c4c04/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 20 (2025-03-13),13032025,lithuania_8_13032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=A8711516-F935-4033-84EC-1171FBD5806B,,lithuania_2024_eilinė_2_7_13032025_lithuania_8_13032025
lithuania_2024_eilinė_2_8_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/352ab270003611f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 21 (2025-03-13),13032025,lithuania_7_13032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=9CEE076B-F354-4151-8BC8-CF7D66937856,,lithuania_2024_eilinė_2_8_13032025_lithuania_7_13032025
lithuania_2024_eilinė_2_8_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/352ab270003611f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 21 (2025-03-13),13032025,lithuania_8_13032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=A8711516-F935-4033-84EC-1171FBD5806B,,lithuania_2024_eilinė_2_8_13032025_lithuania_8_13032025
lithuania_2024_eilinė_2_9_10032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/fc35ff30fde511ef878bc971e70c4c04/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 19 (2025-03-10),10032025,lithuania_9_10032025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=B5A18CAC-EA60-40E8-A389-AA56515BF1E0,,lithuania_2024_eilinė_2_9_10032025_lithuania_9_10032025
lithuania_2024_eilinė_1_10_14012025,,https://e-seimas.lrs.lt/rs/legalact/TAK/9dc3ca00d29c11efbd239e318cbd5b26/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 18 (2025-01-14),14012025,lithuania_10_14012025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=EB9E144F-E1B6-49C7-A747-29DF9BF95055,,lithuania_2024_eilinė_1_10_14012025_lithuania_10_14012025
lithuania_2024_eilinė_1_11_13012025,,https://e-seimas.lrs.lt/rs/legalact/TAK/ce21e750d19711efbd239e318cbd5b26/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 17 (2025-01-13),13012025,lithuania_11_13012025,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=D01DBBD2-7315-4C55-A48D-42B84D8E80C9,,lithuania_2024_eilinė_1_11_13012025_lithuania_11_13012025
lithuania_2024_eilinė_1_12_19122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f3395430be2611ef940bca4d136e126f/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 15 (2024-12-19),19122024,lithuania_12_19122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4A649523-18FA-4FCF-BA7A-3100793E7F09,,lithuania_2024_eilinė_1_12_19122024_lithuania_12_19122024
lithuania_2024_eilinė_1_12_19122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f3395430be2611ef940bca4d136e126f/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 15 (2024-12-19),19122024,lithuania_13_19122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=6531DBBF-B2A9-47A7-AFAA-A6C8DD9FBF8A,,lithuania_2024_eilinė_1_12_19122024_lithuania_13_19122024
lithuania_2024_eilinė_1_13_19122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/cced2a50be2f11ef940bca4d136e126f/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 16 (2024-12-19),19122024,lithuania_12_19122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4A649523-18FA-4FCF-BA7A-3100793E7F09,,lithuania_2024_eilinė_1_13_19122024_lithuania_12_19122024
lithuania_2024_eilinė_1_13_19122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/cced2a50be2f11ef940bca4d136e126f/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 16 (2024-12-19),19122024,lithuania_13_19122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=6531DBBF-B2A9-47A7-AFAA-A6C8DD9FBF8A,,lithuania_2024_eilinė_1_13_19122024_lithuania_13_19122024
lithuania_2024_eilinė_1_14_17122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a7a15ec0bc9e11efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 13 (2024-12-17),17122024,lithuania_14_17122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=25253606-1264-49C6-95A0-9D581555E193,,lithuania_2024_eilinė_1_14_17122024_lithuania_14_17122024
lithuania_2024_eilinė_1_14_17122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a7a15ec0bc9e11efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 13 (2024-12-17),17122024,lithuania_15_17122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=7F2943CF-5A15-499C-A984-AD7D9FB88932,,lithuania_2024_eilinė_1_14_17122024_lithuania_15_17122024
lithuania_2024_eilinė_1_15_17122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f94a8580bc9e11efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 14 (2024-12-17),17122024,lithuania_14_17122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=25253606-1264-49C6-95A0-9D581555E193,,lithuania_2024_eilinė_1_15_17122024_lithuania_14_17122024
lithuania_2024_eilinė_1_15_17122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f94a8580bc9e11efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 14 (2024-12-17),17122024,lithuania_15_17122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=7F2943CF-5A15-499C-A984-AD7D9FB88932,,lithuania_2024_eilinė_1_15_17122024_lithuania_15_17122024
lithuania_2024_eilinė_1_16_12122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/4eca5f40b89811efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 11 (2024-12-12),12122024,lithuania_16_12122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=7438BB87-58E3-45CE-AA88-12F4EC21EF57,,lithuania_2024_eilinė_1_16_12122024_lithuania_16_12122024
lithuania_2024_eilinė_1_16_12122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/4eca5f40b89811efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 11 (2024-12-12),12122024,lithuania_17_12122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=31B38D51-65D0-4A79-9CD8-9657E05A43EC,,lithuania_2024_eilinė_1_16_12122024_lithuania_17_12122024
lithuania_2024_eilinė_1_17_12122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/87e9e6b0b8b111efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 12 (2024-12-12),12122024,lithuania_16_12122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=7438BB87-58E3-45CE-AA88-12F4EC21EF57,,lithuania_2024_eilinė_1_17_12122024_lithuania_16_12122024
lithuania_2024_eilinė_1_17_12122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/87e9e6b0b8b111efa6bcd8fd37368776/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 12 (2024-12-12),12122024,lithuania_17_12122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=31B38D51-65D0-4A79-9CD8-9657E05A43EC,,lithuania_2024_eilinė_1_17_12122024_lithuania_17_12122024
lithuania_2024_eilinė_1_18_10122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/c2690010b70711efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 9 (2024-12-10),10122024,lithuania_18_10122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=9C0D812E-395B-49E4-8378-9A0D6EAEFCD8,,lithuania_2024_eilinė_1_18_10122024_lithuania_18_10122024
lithuania_2024_eilinė_1_18_10122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/c2690010b70711efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 9 (2024-12-10),10122024,lithuania_19_10122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=FAF46BEC-D68D-4266-BD8B-B9286F11299D,,lithuania_2024_eilinė_1_18_10122024_lithuania_19_10122024
lithuania_2024_eilinė_1_19_10122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/1edb38c0b71e11efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 10 (2024-12-10),10122024,lithuania_18_10122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=9C0D812E-395B-49E4-8378-9A0D6EAEFCD8,,lithuania_2024_eilinė_1_19_10122024_lithuania_18_10122024
lithuania_2024_eilinė_1_19_10122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/1edb38c0b71e11efbb3fe9794b4a33e2/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 10 (2024-12-10),10122024,lithuania_19_10122024,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=FAF46BEC-D68D-4266-BD8B-B9286F11299D,,lithuania_2024_eilinė_1_19_10122024_lithuania_19_10122024
