transcript_id,doc_link,docx_link,title
lithuania_2024_eilinė_2_0_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/ae44cd200b2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 28 (2025-03-27)
lithuania_2024_eilinė_2_1_27032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/df30af000b3411f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 29 (2025-03-27)
lithuania_2024_eilinė_2_2_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/d9b2b8e0098e11f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 26 (2025-03-25)
lithuania_2024_eilinė_2_3_25032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/c19205600a2711f0a1c6f244a8c21f99/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 27 (2025-03-25)
lithuania_2024_eilinė_2_4_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/9e66dbe005a111f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 24 (2025-03-20)
lithuania_2024_eilinė_2_5_20032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/4beda590063e11f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 25 (2025-03-20)
lithuania_2024_eilinė_2_6_18032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/578331a0041711f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 22 (2025-03-18)
lithuania_2024_eilinė_2_7_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/7073d8d0001c11f0878bc971e70c4c04/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 20 (2025-03-13)
lithuania_2024_eilinė_2_8_13032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/352ab270003611f0a2ad91db29a9514e/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 21 (2025-03-13)
lithuania_2024_eilinė_2_9_10032025,,https://e-seimas.lrs.lt/rs/legalact/TAK/fc35ff30fde511ef878bc971e70c4c04/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 19 (2025-03-10)
lithuania_2024_eilinė_1_10_14012025,,https://e-seimas.lrs.lt/rs/legalact/TAK/9dc3ca00d29c11efbd239e318cbd5b26/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 18 (2025-01-14)
lithuania_2024_eilinė_1_11_13012025,,https://e-seimas.lrs.lt/rs/legalact/TAK/ce21e750d19711efbd239e318cbd5b26/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 17 (2025-01-13)
lithuania_2024_eilinė_1_12_19122024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f3395430be2611ef940bca4d136e126f/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 15 (2024-12-19)
