video_id,mp3_link,docx_link,doc_link
11_001_10052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 001 10-05-2008 1105hrs.mp3,,https://parlament.mt/media/91192/20080510_001d_par.doc
11_002_12052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 002 12-05-2008 1800hrs.mp3,,https://parlament.mt/media/91190/20080512_002d_par.doc
11_003_13052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 003 13-05-2008 1800hrs.mp3,,https://parlament.mt/media/91195/20080513_003d_par.doc
11_004_14052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 004 14-05-2008 1800hrs.mp3,,https://parlament.mt/media/91201/20080514_004d_par.doc
11_005_19052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 005 19-05-2008 1800hrs.mp3,,https://parlament.mt/media/91205/20080519_005d_par.doc
11_006_20052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 006 20-05-2008 1800hrs.mp3,,https://parlament.mt/media/34360/20080520_006d_par.doc
11_007_21052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 007 21-05-2008 1800hrs.mp3,,https://parlament.mt/media/91209/20080521_007d_par.doc
11_008_26052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 008 26-05-2008 1800hrs.mp3,,https://parlament.mt/media/91213/20080526_008d_par.doc
11_009_27052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 009 27-05-2008 1800hrs.mp3,,https://parlament.mt/media/91217/20080527_009d_par.doc
11_010_28052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 010 28-05-2008 1800hrs.mp3,,https://parlament.mt/media/91264/20080528_010d_par.doc
11_011_02062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 011 02-06-2008 1800hrs.mp3,,https://parlament.mt/media/91281/20080602_011d_par.doc
11_012_03062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 012 03-06-2008 1800hrs.mp3,,https://parlament.mt/media/91282/20080603_012d_par.doc
11_013_04062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 013 04-06-2008 1800hrs.mp3,,https://parlament.mt/media/91283/20080604_013d_par.doc
11_014_09062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 014 09-06-2008 1800hrs.mp3,,https://parlament.mt/media/91284/20080609_014d_par.doc
11_015_10062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 015 10-06-2008 1800hrs.mp3,,https://parlament.mt/media/36708/20080610_015d_par.doc
11_016_11062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 016 11-06-2008 1800hrs.mp3,,https://parlament.mt/media/36707/20080611_016d_par.doc
11_017_16062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 017 16-06-2008 1800hrs.mp3,,https://parlament.mt/media/36706/20080616_017d_par.doc
11_018_17062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 018 17-06-2008 0900hrs.mp3,,https://parlament.mt/media/36705/20080617_018d_par.doc
11_019_17062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 019 17-06-2008 1800hrs.mp3,,https://parlament.mt/media/36704/20080617_019d_par.doc
11_020_18062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 020 18-06-2008 1800hrs.mp3,,https://parlament.mt/media/36703/20080618_020d_par.doc
11_021_23062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 021 23-06-2008 1800hrs.mp3,,https://parlament.mt/media/36702/20080623_021d_par.doc
11_022_24062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 022 24-06-2008 1800hrs.mp3,,https://parlament.mt/media/36701/20080624_022d_par.doc
11_023_25062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 023 25-06-2008 0900hrs.mp3,,https://parlament.mt/media/36700/20080625_023d_par.doc
11_024_25062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 024 25-06-2008 1800hrs.mp3,,https://parlament.mt/media/36699/20080625_024d_par.doc
11_025_30062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 025 30-06-2008 0900hrs.mp3,,https://parlament.mt/media/36698/20080630_025d_par.doc
11_026_30062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 026 30-06-2008 1800hrs.mp3,,https://parlament.mt/media/36697/20080630_026d_par.doc
11_027_01072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 027 01-07-2008 1800hrs.mp3,,https://parlament.mt/media/36694/20080701_027d_par.doc
11_028_02072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 028 02-07-2008 1800hrs.mp3,,https://parlament.mt/media/36690/20080702_028d_par.doc
11_029_07072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 029 07-07-2008 1800hrs.mp3,,https://parlament.mt/media/36686/20080707_029d_par.doc
11_030_08072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 030 08-07-2008 1800hrs.mp3,,https://parlament.mt/media/36682/20080708_030d_par.doc
11_031_09072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 031 09-07-2008 1800hrs.mp3,,https://parlament.mt/media/36678/20080709_031d_par.doc
11_032_14072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 032 14-07-2008 1800hrs.mp3,,https://parlament.mt/media/91297/20080714_032d_par.doc
11_033_15072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 033 15-07-2008 1800hrs.mp3,,https://parlament.mt/media/91298/20080715_033d_par.doc
11_034_16072008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 034 16-07-2008 1800hrs.mp3,,https://parlament.mt/media/91299/20080716_034d_par.doc
11_035_29092008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 035 29-09-2008 1800hrs.mp3,,https://parlament.mt/media/36665/20080929_035d_par.doc
11_036_30092008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 036 30-09-2008 1800hrs.mp3,,https://parlament.mt/media/36661/20080930_036d_par.doc
11_037_01102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 037 01-10-2008 1800hrs.mp3,,https://parlament.mt/media/36657/20081001_037d_par.doc
11_038_06102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 038 06-10-2008 1800hrs.mp3,,https://parlament.mt/media/36653/20081006_038d_par.doc
