video_id,mp3_link
11_001_10052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 001 10-05-2008 1105hrs.mp3
11_002_12052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 002 12-05-2008 1800hrs.mp3
11_003_13052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 003 13-05-2008 1800hrs.mp3
11_004_14052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 004 14-05-2008 1800hrs.mp3
11_005_19052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 005 19-05-2008 1800hrs.mp3
11_006_20052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 006 20-05-2008 1800hrs.mp3
11_007_21052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 007 21-05-2008 1800hrs.mp3
11_008_26052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 008 26-05-2008 1800hrs.mp3
11_009_27052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 009 27-05-2008 1800hrs.mp3
11_010_28052008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 010 28-05-2008 1800hrs.mp3
11_011_02062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 011 02-06-2008 1800hrs.mp3
11_012_03062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 012 03-06-2008 1800hrs.mp3
11_013_04062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 013 04-06-2008 1800hrs.mp3
11_014_09062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 014 09-06-2008 1800hrs.mp3
11_015_10062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 015 10-06-2008 1800hrs.mp3
11_016_11062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 016 11-06-2008 1800hrs.mp3
11_017_16062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 017 16-06-2008 1800hrs.mp3
11_018_17062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 018 17-06-2008 0900hrs.mp3
11_019_17062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 019 17-06-2008 1800hrs.mp3
11_020_18062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 020 18-06-2008 1800hrs.mp3
11_021_23062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 021 23-06-2008 1800hrs.mp3
11_022_24062008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 022 24-06-2008 1800hrs.mp3
