legislation,session_title,session_number,session_date,link_to_session,pdf_link,transcript_links,video_link
8,82. posiedzenie Senatu RP VIII kadencji,82,30 września i 1  października 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,425,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,425,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,425,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,425,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,425,1.html"
8,81. posiedzenie Senatu RP VIII kadencji,81,"2, 3 i 4 września 2015 r.","https://www.senat.gov.pl/prace/posiedzenia/tematy,424,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,424,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,424,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,424,2.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,424,3.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,424,1.html"
8,80. posiedzenie Senatu RP VIII kadencji,80,"4, 5 i 7 sierpnia 2015 r.","https://www.senat.gov.pl/prace/posiedzenia/tematy,423,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,423,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,423,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,423,2.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,423,3.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,423,1.html"
8,79. posiedzenie Senatu RP VIII kadencji,79,"22, 23  i 24 lipca 2015 r.","https://www.senat.gov.pl/prace/posiedzenia/tematy,422,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,422,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,422,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,422,2.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,422,3.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,422,1.html"
8,78. posiedzenie Senatu RP VIII kadencji,78,"8, 9 i 10 lipca 2015 r.","https://www.senat.gov.pl/prace/posiedzenia/tematy,421,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,421,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,421,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,421,2.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,421,3.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,421,1.html"
8,77. posiedzenie Senatu RP VIII kadencji,77,24 i 25  czerwca 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,420,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,420,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,420,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,420,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,420,1.html"
8,76. posiedzenie Senatu RP VIII kadencji,76,11 i 12  czerwca 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,419,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,419,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,419,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,419,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,419,1.html"
8,75. posiedzenie Senatu RP VIII kadencji,75,20 i 21 maja 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,418,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,418,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,418,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,418,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,418,1.html"
8,74. posiedzenie Senatu RP VIII kadencji,74,6 i 7 maja 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,417,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,417,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,417,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,417,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,417,1.html"
8,73. posiedzenie Senatu RP VIII kadencji,73,15 i 16 kwietnia 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,416,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,416,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,416,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,416,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,416,1.html"
8,72. posiedzenie Senatu RP VIII kadencji,72,18 i 19  marca 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,415,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,415,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,415,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,415,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,415,1.html"
8,71. posiedzenie Senatu RP VIII kadencji,71,4 i 5  marca 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,414,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,414,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,414,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,414,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,414,1.html"
8,70. posiedzenie Senatu RP VIII kadencji,70,"5, 6 i 7 lutego 2015 r.","https://www.senat.gov.pl/prace/posiedzenia/tematy,413,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,413,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,413,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,413,2.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,413,3.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,413,1.html"
8,69. posiedzenie Senatu RP VIII kadencji,69,21 stycznia  2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,412,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,412,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,412,1.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,412,1.html"
8,68. posiedzenie Senatu RP VIII kadencji,68,8 i 9 stycznia 2015 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,411,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,411,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,411,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,411,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,411,1.html"
8,67. posiedzenie Senatu RP VIII kadencji,67,17 i 18  grudnia 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,304,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,304,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,304,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,304,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,304,1.html"
8,66. posiedzenie Senatu RP VIII kadencji,66,3 i 4  grudnia 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,288,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,288,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,288,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,288,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,288,1.html"
8,65. posiedzenie Senatu RP VIII kadencji,65,19 i 20 listopada 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,287,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,287,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,287,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,287,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,287,1.html"
8,64. posiedzenie Senatu RP VIII kadencji,64,5 i 6  listopada 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,286,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,286,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,286,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,286,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,286,1.html"
8,63. posiedzenie Senatu RP VIII kadencji,63,22 i 23 października 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,285,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,285,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,285,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,285,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,285,1.html"
8,62. posiedzenie Senatu RP VIII kadencji,62,8 i 9 października 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,284,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,284,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,284,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,284,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,284,1.html"
8,61. posiedzenie Senatu RP VIII kadencji,61,24 i 25 września 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,283,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,283,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,283,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,283,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,283,1.html"
8,60. posiedzenie Senatu RP VIII kadencji,60,6 i 7  sierpnia 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,282,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,282,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,282,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,282,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,282,1.html"
8,59. posiedzenie Senatu RP VIII kadencji,59,23 i 24  lipca 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,281,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,281,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,281,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,281,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,281,1.html"
8,58. posiedzenie Senatu RP VIII kadencji,58,4  lipca 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,280,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,280,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,280,1.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,280,1.html"
8,57. posiedzenie Senatu RP VIII kadencji,57,2 i 3 lipca 2014 r.,"https://www.senat.gov.pl/prace/posiedzenia/tematy,279,1.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,279,1,wersja-pdf.html","https://www.senat.gov.pl/prace/posiedzenia/przebieg,279,1.html,https://www.senat.gov.pl/prace/posiedzenia/przebieg,279,2.html","https://www.senat.gov.pl/prace/posiedzenia/tematy,279,1.html"
