cycle,legislation,session_number,session_title,session_date,link_to_session
10,1,149,Reunião N.º 149 (07/09/2006),07/09/2006,https://av.parlamento.pt/videos/Plenary/10/1/149
10,1,148,Reunião N.º 148 (27/07/2006),27/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/148
10,1,147,Reunião N.º 147 (20/07/2006),20/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/147
10,1,146,Reunião N.º 146 (12/07/2006),12/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/146
10,1,145,Reunião N.º 145 (07/07/2006),07/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/145
10,1,144,Reunião N.º 144 (06/07/2006),06/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/144
10,1,143,Reunião N.º 143 (05/07/2006),05/07/2006,https://av.parlamento.pt/videos/Plenary/10/1/143
10,1,142,Reunião N.º 142 (30/06/2006),30/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/142
10,1,141,Reunião N.º 141 (29/06/2006),29/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/141
10,1,140,Reunião N.º 140 (28/06/2006),28/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/140
10,1,139,Reunião N.º 139 (23/06/2006),23/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/139
10,1,138,Reunião N.º 138 (22/06/2006),22/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/138
10,1,137,Reunião N.º 137 (21/06/2006),21/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/137
10,1,136,Reunião N.º 136 (16/06/2006),16/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/136
10,1,135,Reunião N.º 135 (14/06/2006),14/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/135
10,1,134,Reunião N.º 134 (09/06/2006),09/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/134
10,1,133,Reunião N.º 133 (08/06/2006),08/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/133
10,1,132,Reunião N.º 132 (07/06/2006),07/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/132
10,1,131,Reunião N.º 131 (02/06/2006),02/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/131
10,1,130,Reunião N.º 130 (01/06/2006),01/06/2006,https://av.parlamento.pt/videos/Plenary/10/1/130
10,1,129,Reunião N.º 129 (31/05/2006),31/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/129
10,1,128,Reunião N.º 128 (26/05/2006),26/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/128
10,1,127,Reunião N.º 127 (25/05/2006),25/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/127
10,1,126,Reunião N.º 126 (24/05/2006),24/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/126
10,1,125,Reunião N.º 125 (18/05/2006),18/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/125
10,1,124,Reunião N.º 124 (17/05/2006),17/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/124
10,1,123,Reunião N.º 123 (12/05/2006),12/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/123
10,1,122,Reunião N.º 122 (11/05/2006),11/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/122
10,1,121,Reunião N.º 121 (10/05/2006),10/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/121
10,1,120,Reunião N.º 120 (03/05/2006),03/05/2006,https://av.parlamento.pt/videos/Plenary/10/1/120
10,1,119,Reunião N.º 119 (28/04/2006),28/04/2006,https://av.parlamento.pt/videos/Plenary/10/1/119
10,1,118,Reunião N.º 118 (27/04/2006),27/04/2006,https://av.parlamento.pt/videos/Plenary/10/1/118
10,1,117,Reunião N.º 117 (26/04/2006),26/04/2006,https://av.parlamento.pt/videos/Plenary/10/1/117
10,1,116,Reunião N.º 116 (25/04/2006),25/04/2006,https://av.parlamento.pt/videos/Plenary/10/1/116
