Language,Whisper Tiny,Whisper Base,Whisper Small,Whisper Medium,Whisper Large,Whisper Large-v2
Afrikaans,91.2,81.5,61.1,44.9,42.6,36.7
Amharic,122.9,196.8,120.2,229.3,129.3,140.3
Arabic,63.4,48.8,30.6,20.4,18.1,16.0
Assamese,102.0,102.0,108.0,102.3,105.6,106.2
Azerbaijani,93.1,76.4,49.1,33.1,28.7,23.4
Belarusian,94.0,91.3,75.1,60.4,56.6,45.4
Bulgarian,81.0,65.1,37.3,21.4,18.4,14.6
Bengali,101.6,100.6,104.4,100.6,104.9,104.1
Bosnian,82.1,66.7,39.4,23.9,20.7,15.7
Catalan,42.8,29.0,16.2,9.6,8.0,7.3
Chinese,40.5,34.1,20.8,12.1,19.6,14.7
Czech,82.8,66.0,37.6,21.3,17.4,13.3
Welsh,101.3,85.3,59.3,40.8,36.6,33.0
Danish,82.0,57.6,32.8,19.5,16.8,13.8
German,27.8,17.9,10.2,6.5,5.5,4.5
Greek,67.4,53.5,30.8,19.0,18.7,12.5
English,12.4,8.9,6.1,4.4,4.5,4.2
Spanish,15.9,9.9,5.6,3.6,3.5,3.0
Estonian,94.8,77.9,51.3,29.8,25.5,21.9
Persian,101.8,86.1,55.8,41.0,36.1,32.9
Finnish,59.5,43.1,24.0,13.9,12.2,9.7
Tagalog,65.6,45.8,27.7,19.1,15.8,13.8
French,41.4,28.5,15.0,8.7,7.7,8.3
Galician,54.8,47.4,30.2,21.2,19.0,15.4
Gujarati,101.2,101.4,106.4,104.8,103.9,102.7
Hausa,100.2,98.6,90.1,106.6,87.0,88.9
Hebrew,71.6,61.7,44.4,33.1,30.2,27.1
Hindi,102.3,101.1,38.4,26.8,26.9,21.5
Croatian,79.0,59.1,33.4,19.3,16.7,13.4
Hungarian,83.8,65.0,38.9,24.3,21.0,17.0
Armenian,118.6,126.3,86.6,60.1,53.7,44.6
Indonesian,51.7,33.1,16.3,10.2,8.5,7.1
Icelandic,113.3,95.5,72.6,49.9,43.0,38.2
Italian,29.8,17.9,9.8,5.2,4.2,4.0
Japanese,37.0,22.8,12.0,7.1,6.4,5.3
Javanese,107.3,89.5,88.6,67.9,87.0,
Georgian,123.0,114.7,118.3,117.3,100.5,105.0
Kazakh,165.2,109.2,70.3,48.8,43.8,37.7
Khmer,100.6,101.6,104.4,98.9,96.0,99.7
Kannada,100.7,107.2,100.4,77.7,69.8,37.0
Korean,36.1,27.8,19.6,16.4,15.2,14.3
Luxembourgish,99.1,100.7,100.1,90.0,86.5,88.0
Lingala,105.4,96.7,91.3,83.2,76.8,75.6
Lao,115.1,105.1,102.2,101.4,101.6,101.5
Lithuanian,98.5,87.3,65.6,41.1,35.2,28.1
Latvian,91.6,79.8,53.2,32.0,28.3,23.1
Maori,94.5,77.5,59.5,77.8,45.7,38.5
Macedonian,73.3,59.9,36.9,22.0,20.6,16.5
Malayalam,101.5,107.4,100.9,101.1,101.4,100.7
Mongolian,113.7,125.7,144.2,103.7,106.2,110.5
Marathi,100.3,100.3,60.2,63.2,43.7,38.3
Malay,51.2,35.1,18.9,12.2,10.2,8.7
Maltese,100.8,97.6,92.2,83.2,80.5,76.6
Myanmar,124.8,122.6,110.1,123.0,124.5,115.7
Norwegian,62.0,44.0,24.2,12.9,11.4,9.5
Nepali,101.8,102.4,69.5,54.4,52.2,47.1
Dutch,49.0,33.0,16.4,9.9,8.3,6.7
Occitan,95.9,82.9,87.3,79.5,75.9,75.3
Punjabi,102.6,101.5,103.6,102.0,102.8,102.4
Polish,45.6,30.8,14.7,8.0,7.2,5.4
Pashto,105.6,99.0,92.9,119.4,92.7,93.7
Portuguese,20.1,13.0,7.3,5.0,4.8,4.3
Romanian,74.7,56.0,29.8,20.0,15.4,14.4
Russian,31.1,20.5,11.4,7.2,6.4,5.6
Sindhi,105.8,103.9,131.7,147.0,177.9,156.5
Slovak,77.2,60.6,33.3,17.3,15.7,11.7
Slovenian,87.2,74.6,49.3,31.9,27.8,23.1
Shona,128.1,126.0,140.0,143.9,130.0,121.0
Somali,105.6,109.6,105.3,104.0,103.5,102.9
Serbian,83.7,64.3,42.2,44.9,29.2,33.9
Swedish,52.7,37.4,20.8,11.2,10.5,8.5
Swahili,100.9,92.5,73.7,52.8,47.9,39.3
Tamil,99.9,58.7,35.2,23.1,20.6,17.5
Telugu,105.1,105.2,98.2,82.8,100.6,99.0
Tajik,101.7,109.3,84.3,74.0,74.5,85.8
Thai,58.8,38.2,21.9,15.4,13.2,11.5
Turkish,42.5,27.5,15.9,10.4,9.4,8.4
Ukrainian,51.2,37.7,19.3,11.6,10.3,8.6
Urdu,65.2,52.0,37.3,28.2,25.0,22.6
Uzbek,105.2,114.0,107.7,109.6,93.3,90.2
Vietnamese,60.0,40.5,21.2,12.7,10.7,10.3
Yoruba,106.4,101.8,116.4,105.1,111.7,94.8 
