Hours,Language
1.0,Lao
0.1,Sundanese
0.1,Burmese
0.2,Malagasy
0.3,Tajik
0.3,Gujarati
0.3,Uzbek
0.4,Yiddish
0.5,Malayalam
0.6,Georgian
0.6,Nepali
0.6,Marathi
0.8,Punjabi
1.0,Haitian Creole
1.1,Maltese
1.3,Bengali
1.3,Khmer
2.4,Belarusian
3.8,Kannada
4.1,Afrikaans
4.3,Telugu
5.4,Swahili
5.4,Sinhala
5.7,Albanian
8.9,Galician
11.0,Bosnian
12.0,Hindi
12.0,Kazakh
13.0,Armenian
16.0,Macedonian
16.0,Icelandic
21.0,Basque
24.0,Persian
28.0,Serbian
41.0,Slovenian
41.0,Estonian
47.0,Azerbaijani
65.0,Latvian
67.0,Lithuanian
73.0,Welsh
75.0,Tagalog
86.0,Bulgarian
90.0,Slovak
91.0,Croatian
104.0,Urdu
136.0,Tamil
192.0,Czech
226.0,Thai
266.0,Norwegian
356.0,Romanian
379.0,Hungarian
382.0,Malay
473.0,Danish
529.0,Greek
688.0,Hebrew
691.0,Vietnamese
697.0,Ukrainian
739.0,Arabic
1014.0,Indonesian
1066.0,Finnish
1883.0,Catalan
2077.0,Dutch
2119.0,Swedish
2585.0,Italian
4278.0,Polish
4333.0,Turkish
7054.0,Japanese
7993.0,Korean
8573.0,Portuguese
9752.0,French
9761.0,Russian
11100.0,Spanish
13344.0,German
2.0,
