Language,Whisper Tiny,Whisper Base,Whisper Small,Whisper Medium,Whisper Large,Whisper Large-v2
Czech,73.5,54.7,28.8,18.4,15.9,12.6
German,27.4,20.6,14.8,12.4,11.9,11.2
English,11.6,9.5,8.2,7.6,7.2,7.0
en accented,18.8,17.5,19.2,19.1,20.8,18.6
Spanish,19.7,14.4,11.1,9.6,8.8,8.2
Estonian,99.2,83.0,59.2,38.2,33.3,28.7
Finnish,54.1,39.7,24.9,16.6,15.5,12.4
French,32.9,24.9,15.7,12.2,11.0,11.4
Croatian,72.4,53.6,33.7,23.9,19.0,16.1
Hungarian,74.5,52.6,31.3,19.3,16.8,13.8
Italian,40.5,30.8,22.9,19.7,18.4,19.0
Lithuanian,93.1,82.1,60.1,39.3,35.0,33.2
Dutch,41.9,29.4,18.8,14.9,14.0,12.9
Polish,31.4,22.1,13.3,10.1,9.0,7.8
Romanian,65.9,49.3,28.6,18.4,17.0,14.4
Slovak,78.7,63.7,37.3,23.0,19.1,15.4
Slovenian,81.9,70.5,50.8,36.3,31.3,27.9 
