transcript_id,processed_transcript_text_link,transcript_title,date,,video_id,mp4_video_link,video_title,merged_id
serbia_2012_0_16042014,https://otvoreniparlament.rs/transkript/7117,Prva (konstitutivna) sednica,16042014,,serbia_2014_477_16042014,http://217.26.67.44/filesnsrs2/zasedanja/zas2014041616a.mp4,Прва седница Народне скупштине Републике Србије 16.04.2014. други део,serbia_2012_0_16042014_serbia_2014_477_16042014
serbia_2012_0_16042014,https://otvoreniparlament.rs/transkript/7117,Prva (konstitutivna) sednica,16042014,,serbia_2014_478_16042014,http://217.26.67.44/filesnsrs2/zasedanja/zas2014041616.mp4,Прва седница Народне скупштине Републике Србије 16.04.2014. први део,serbia_2012_0_16042014_serbia_2014_478_16042014
serbia_2012_1_15022014,https://otvoreniparlament.rs/transkript/7116,Prva vanredna sednica,15022014,,serbia_2012_0_15022014,http://217.26.67.44/filesnsrs2/zasedanja/zas2014021510a.mp4,Првo ванреднo заседање Народне скупштине Републике Србије у 2014. години 15.02.2014. - гласање,serbia_2012_1_15022014_serbia_2012_0_15022014
serbia_2012_1_15022014,https://otvoreniparlament.rs/transkript/7116,Prva vanredna sednica,15022014,,serbia_2012_1_15022014,http://217.26.67.44/filesnsrs2/zasedanja/zas2014021510.mp4,Првo ванреднo заседање Народне скупштине Републике Србије у 2014. години 15.02.2014.,serbia_2012_1_15022014_serbia_2012_1_15022014
serbia_2012_2_26122013,https://otvoreniparlament.rs/transkript/7115,Sedma sednica Drugog redovnog zasedanja,26122013,,serbia_2012_2_26122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013122610c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 26.12.2013. - гласање,serbia_2012_2_26122013_serbia_2012_2_26122013
serbia_2012_2_26122013,https://otvoreniparlament.rs/transkript/7115,Sedma sednica Drugog redovnog zasedanja,26122013,,serbia_2012_3_26122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013122610b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 26.12.2013. други део,serbia_2012_2_26122013_serbia_2012_3_26122013
serbia_2012_2_26122013,https://otvoreniparlament.rs/transkript/7115,Sedma sednica Drugog redovnog zasedanja,26122013,,serbia_2012_4_26122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013122610a.mp4,Посланичка питања у децембру 26.12.2013.,serbia_2012_2_26122013_serbia_2012_4_26122013
serbia_2012_2_26122013,https://otvoreniparlament.rs/transkript/7115,Sedma sednica Drugog redovnog zasedanja,26122013,,serbia_2012_5_26122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013122610.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 26.12.2013. први део,serbia_2012_2_26122013_serbia_2012_5_26122013
serbia_2012_3_23122013,https://otvoreniparlament.rs/transkript/7114,Sedma sednica Drugog redovnog zasedanja,23122013,,serbia_2012_6_23122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013122310.mp4,Седма седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 23.12.2013.,serbia_2012_3_23122013_serbia_2012_6_23122013
serbia_2012_4_16122013,https://otvoreniparlament.rs/transkript/7113,Šesta sednica Drugog redovnog zasedanja,16122013,,serbia_2012_7_16122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121610a.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 16.12.2013. други део,serbia_2012_4_16122013_serbia_2012_7_16122013
serbia_2012_4_16122013,https://otvoreniparlament.rs/transkript/7113,Šesta sednica Drugog redovnog zasedanja,16122013,,serbia_2012_8_16122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121610.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 16.12.2013. први део,serbia_2012_4_16122013_serbia_2012_8_16122013
serbia_2012_5_13122013,https://otvoreniparlament.rs/transkript/7112,Šesta sednica Drugog redovnog zasedanja,13122013,,serbia_2012_9_13122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121310a.mp4,"Дан за гласање о тачкама 12, 13. и 14. дневног реда Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 13.12.2013.",serbia_2012_5_13122013_serbia_2012_9_13122013
serbia_2012_5_13122013,https://otvoreniparlament.rs/transkript/7112,Šesta sednica Drugog redovnog zasedanja,13122013,,serbia_2012_10_13122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121310.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 13.12.2013.,serbia_2012_5_13122013_serbia_2012_10_13122013
serbia_2012_6_12122013,https://otvoreniparlament.rs/transkript/7111,Šesta sednica Drugog redovnog zasedanja,12122013,,serbia_2012_11_12122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121210a.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 12.12.2013. други део,serbia_2012_6_12122013_serbia_2012_11_12122013
serbia_2012_6_12122013,https://otvoreniparlament.rs/transkript/7111,Šesta sednica Drugog redovnog zasedanja,12122013,,serbia_2012_12_12122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121210.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 12.12.2013. први део,serbia_2012_6_12122013_serbia_2012_12_12122013
serbia_2012_7_10122013,https://otvoreniparlament.rs/transkript/7110,Šesta sednica Drugog redovnog zasedanja,10122013,,serbia_2012_13_10122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121010a.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 10.12.2013. други део,serbia_2012_7_10122013_serbia_2012_13_10122013
serbia_2012_7_10122013,https://otvoreniparlament.rs/transkript/7110,Šesta sednica Drugog redovnog zasedanja,10122013,,serbia_2012_14_10122013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013121010.mp4,наставак Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 10.12.2013. први део,serbia_2012_7_10122013_serbia_2012_14_10122013
