transcript_id,pdf_link,location_link,location,txt_link
uk_0_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/565870b8-2636-43dd-9404-148db1d53e1b
uk_1_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/92ca8907-8cec-40af-abca-fdba6cd449b1
uk_0_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/7c3143ba-5c2b-49d0-ae4e-f95abff1b8ec
uk_1_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/846974f1-0791-47f1-ac08-2d5cacdd0bac
uk_0_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/2b869acf-b5d9-406c-a520-e23aa4bdc0d2
uk_1_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/100db0f1-5a63-4331-bf22-e67f98ebbf3c
uk_0_16012012,,https://hansard.parliament.uk/html/commons/2012-01-16/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/221e51b3-f1d7-4ad5-b511-693a423234da
uk_0_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1156a8b5-73ab-4b99-bb8a-b0384573b904
uk_1_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/80b40fc2-12fe-4eeb-bcc7-d9c948c637fe
uk_0_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/5442651c-7e70-4f2c-92d7-e60cda91f167
uk_1_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/f36db0c4-2da1-43b0-a2b8-8ae981b5c187
uk_0_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/c55d3bcf-08d0-46b5-97b1-5d2056a9dd0d
uk_1_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/21176546-4a90-4f9e-9910-6fbc77303075
uk_0_20012012,,https://hansard.parliament.uk/html/commons/2012-01-20/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/043a6540-fda5-4105-8f6e-3955b1379202
uk_0_23012012,,https://hansard.parliament.uk/html/commons/2012-01-23/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/d813a856-b0a9-47ba-bdb5-b6183f7e59af
uk_0_24012012,,https://hansard.parliament.uk/html/commons/2012-01-24/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/e56fe0f3-a019-43e6-8702-25fd4dd59c14
uk_1_24012012,,https://hansard.parliament.uk/html/commons/2012-01-24/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/c9a01793-dd76-4f6d-a0c8-00562d466997
uk_0_25012012,,https://hansard.parliament.uk/html/commons/2012-01-25/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/9a1835d4-92cf-4d2e-bf67-9640633dcb2a
uk_1_25012012,,https://hansard.parliament.uk/html/commons/2012-01-25/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a10a2b1c-95ac-438f-a181-046a903a911d
uk_0_26012012,,https://hansard.parliament.uk/html/commons/2012-01-26/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/56627fec-e057-4e5e-97dd-7ff321b7e0d7
uk_1_26012012,,https://hansard.parliament.uk/html/commons/2012-01-26/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/32dede4b-ff4a-4a01-91c1-e2035a4e7a74
uk_0_30012012,,https://hansard.parliament.uk/html/commons/2012-01-30/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/d37dd4ae-b8e5-4e6b-a4f0-c91b5a2d73b3
uk_0_31012012,,https://hansard.parliament.uk/html/commons/2012-01-31/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/d3806a9d-8011-4f74-91ad-100d6e63c176
uk_1_31012012,,https://hansard.parliament.uk/html/commons/2012-01-31/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/616ed21e-28eb-4d7a-b94f-0491b0c7784d
uk_0_01022012,,https://hansard.parliament.uk/html/commons/2012-02-01/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ab47dcde-f0ea-41fd-b663-e5c680606db4
uk_1_01022012,,https://hansard.parliament.uk/html/commons/2012-02-01/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/469ba21d-3390-48a7-a5db-409522736d01
uk_0_02022012,,https://hansard.parliament.uk/html/commons/2012-02-02/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/0e51d7e1-2c88-4561-89a6-259d4f8f9ad6
uk_1_02022012,,https://hansard.parliament.uk/html/commons/2012-02-02/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a99a3ae7-8b4c-4fa7-8d10-dfcc4c0ae6e2
uk_0_06022012,,https://hansard.parliament.uk/html/commons/2012-02-06/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/100aa6e3-4e7c-49ab-b0da-a5c7857022b1
uk_0_07022012,,https://hansard.parliament.uk/html/commons/2012-02-07/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/69dfffad-ff3c-4cc7-acc9-862ac570adf4
uk_1_07022012,,https://hansard.parliament.uk/html/commons/2012-02-07/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a3aa9a77-3079-42c3-b03a-014a32d64740
uk_0_08022012,,https://hansard.parliament.uk/html/commons/2012-02-08/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/af7d0266-2bcc-4216-8c18-7171b1ba3be9
uk_1_08022012,,https://hansard.parliament.uk/html/commons/2012-02-08/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/2b15f1db-eb10-49fb-a215-dffc2bb2b2b8
uk_0_09022012,,https://hansard.parliament.uk/html/commons/2012-02-09/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/9bf230d7-afb0-4aca-91bd-0f80bf4e0d84
uk_1_09022012,,https://hansard.parliament.uk/html/commons/2012-02-09/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/131bf6ff-bc74-4b48-b9c3-26037367cdc8
uk_0_20022012,,https://hansard.parliament.uk/html/commons/2012-02-20/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ba7696e7-7e69-4b04-adbb-1e3d35e0afa1
uk_0_21022012,,https://hansard.parliament.uk/html/commons/2012-02-21/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/687769d1-d9ee-498a-bc37-6c051d4750f3
uk_1_21022012,,https://hansard.parliament.uk/html/commons/2012-02-21/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/c5c2f428-4576-4532-9f11-13ce4ed5f0bd
uk_0_22022012,,https://hansard.parliament.uk/html/commons/2012-02-22/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/804f887f-0472-4045-9db0-a991b2387bfe
uk_1_22022012,,https://hansard.parliament.uk/html/commons/2012-02-22/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/d1eb07fb-540b-4645-9d24-bad35a6585d3
uk_0_23022012,,https://hansard.parliament.uk/html/commons/2012-02-23/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/be6305f3-b64e-4445-8da7-556608cf0543
uk_1_23022012,,https://hansard.parliament.uk/html/commons/2012-02-23/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/002974ae-7764-400c-a28e-d1b5d0a41e3f
uk_0_27022012,,https://hansard.parliament.uk/html/commons/2012-02-27/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/2501a046-6e2d-4e09-ab48-e8c48e25b53f
uk_0_28022012,,https://hansard.parliament.uk/html/commons/2012-02-28/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/4e400bdd-8a56-4cc9-9652-0ce8f55e1686
uk_1_28022012,,https://hansard.parliament.uk/html/commons/2012-02-28/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/4c5a7c6d-850e-4041-8c36-02fa01da6b07
uk_0_29022012,,https://hansard.parliament.uk/html/commons/2012-02-29/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/427a89e7-bc49-4157-b3ed-ebbe6edd6a89
uk_1_29022012,,https://hansard.parliament.uk/html/commons/2012-02-29/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/e671a786-f5e3-46b7-bd61-6a3fdecafc7d
uk_0_01032012,,https://hansard.parliament.uk/html/commons/2012-03-01/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/8e5a923a-b045-48ad-ad6e-f51ce4261e9f
uk_1_01032012,,https://hansard.parliament.uk/html/commons/2012-03-01/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/c09e807f-9b5a-4398-be9b-e7d30127305e
