transcript_id,pdf_link,location_link,location,txt_link
uk_0_04122007,,https://hansard.parliament.uk/html/commons/2007-12-04/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1ac5c52c-c253-40ca-921e-7cc93e0d4c84
uk_1_04122007,,https://hansard.parliament.uk/html/commons/2007-12-04/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/ec401d94-22f1-498b-8505-b59afe481fcc
uk_0_05122007,,https://hansard.parliament.uk/html/commons/2007-12-05/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/e577b017-9898-49f6-bc8e-25454c50757a
uk_1_05122007,,https://hansard.parliament.uk/html/commons/2007-12-05/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/0ae71ce0-c529-42df-b978-1d2bfb21f94b
uk_0_06122007,,https://hansard.parliament.uk/html/commons/2007-12-06/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/b7023c79-89fe-4fe3-8dd4-3874bf03fb72
uk_1_06122007,,https://hansard.parliament.uk/html/commons/2007-12-06/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/d113c96e-edc5-4a45-bef6-063a4d6ef4d6
uk_0_10122007,,https://hansard.parliament.uk/html/commons/2007-12-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/f98ddaed-5770-45dc-b6cb-c1d957fefc9d
uk_0_11122007,,https://hansard.parliament.uk/html/commons/2007-12-11/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/73383ec6-0612-4c51-93a3-721b1e624c5f
uk_1_11122007,,https://hansard.parliament.uk/html/commons/2007-12-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/8cdb20c9-9935-410a-8328-54a7d84cc282
uk_0_12122007,,https://hansard.parliament.uk/html/commons/2007-12-12/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/65c83ac6-02bb-4083-a5b8-7fbdd9e0540c
uk_1_12122007,,https://hansard.parliament.uk/html/commons/2007-12-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a9048014-9378-443e-9682-57860a380400
uk_0_13122007,,https://hansard.parliament.uk/html/commons/2007-12-13/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ee2a12d3-8205-4f38-b38f-963b99f8e4e4
uk_1_13122007,,https://hansard.parliament.uk/html/commons/2007-12-13/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/6ba00847-833a-474b-9201-847f0cd172f9
uk_0_17122007,,https://hansard.parliament.uk/html/commons/2007-12-17/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/2de3385e-88af-4e2e-bae6-445c5e46c348
uk_0_18122007,,https://hansard.parliament.uk/html/commons/2007-12-18/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ad6dd667-c78a-45ad-a997-d327e1d2ff0a
uk_1_18122007,,https://hansard.parliament.uk/html/commons/2007-12-18/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/02c2fc53-3690-44bb-b4d1-cff2f14112eb
uk_0_07012008,,https://hansard.parliament.uk/html/commons/2008-01-07/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/7dead56d-7d8a-4dee-b3ad-243dd60711b6
uk_0_08012008,,https://hansard.parliament.uk/html/commons/2008-01-08/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/7a92bbb4-cdb3-4b95-b672-b2d6551a03f2
