transcript_id,pdf_link,location_link,location
uk_0_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/CommonsChamber,CommonsChamber
uk_1_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/WestminsterHall,WestminsterHall
uk_0_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/CommonsChamber,CommonsChamber
uk_1_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/WestminsterHall,WestminsterHall
uk_0_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/CommonsChamber,CommonsChamber
uk_1_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/WestminsterHall,WestminsterHall
uk_0_16012012,,https://hansard.parliament.uk/html/commons/2012-01-16/CommonsChamber,CommonsChamber
uk_0_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/CommonsChamber,CommonsChamber
uk_1_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/WestminsterHall,WestminsterHall
uk_0_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/CommonsChamber,CommonsChamber
uk_1_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/WestminsterHall,WestminsterHall
uk_0_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/CommonsChamber,CommonsChamber
uk_1_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/WestminsterHall,WestminsterHall
uk_0_20012012,,https://hansard.parliament.uk/html/commons/2012-01-20/CommonsChamber,CommonsChamber
uk_0_23012012,,https://hansard.parliament.uk/html/commons/2012-01-23/CommonsChamber,CommonsChamber
uk_0_24012012,,https://hansard.parliament.uk/html/commons/2012-01-24/CommonsChamber,CommonsChamber
uk_1_24012012,,https://hansard.parliament.uk/html/commons/2012-01-24/WestminsterHall,WestminsterHall
uk_0_25012012,,https://hansard.parliament.uk/html/commons/2012-01-25/CommonsChamber,CommonsChamber
uk_1_25012012,,https://hansard.parliament.uk/html/commons/2012-01-25/WestminsterHall,WestminsterHall
uk_0_26012012,,https://hansard.parliament.uk/html/commons/2012-01-26/CommonsChamber,CommonsChamber
uk_1_26012012,,https://hansard.parliament.uk/html/commons/2012-01-26/WestminsterHall,WestminsterHall
uk_0_30012012,,https://hansard.parliament.uk/html/commons/2012-01-30/CommonsChamber,CommonsChamber
uk_0_31012012,,https://hansard.parliament.uk/html/commons/2012-01-31/CommonsChamber,CommonsChamber
