transcript_id,pdf_link,location_link,location_x,txt_link,key,video_id,generic_video_link,location_y
uk_0_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/565870b8-2636-43dd-9404-148db1d53e1b,10012012_Commons,uk_25_10012012,https://www.parliamentlive.tv/Event/Index/2741a724-cd5c-425e-9efa-bd36d1b72eb4,House of Commons
uk_1_10012012,,https://hansard.parliament.uk/html/commons/2012-01-10/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/92ca8907-8cec-40af-abca-fdba6cd449b1,10012012_Westminster,uk_26_10012012,https://www.parliamentlive.tv/Event/Index/a24d88b2-71ea-46a9-a20d-74196b823210,Westminster Hall
uk_0_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/7c3143ba-5c2b-49d0-ae4e-f95abff1b8ec,11012012_Commons,uk_23_11012012,https://www.parliamentlive.tv/Event/Index/d158d011-adfd-439c-8320-26237cea0965,House of Commons
uk_1_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/846974f1-0791-47f1-ac08-2d5cacdd0bac,11012012_Westminster,uk_22_11012012,https://www.parliamentlive.tv/Event/Index/93af0af0-f4dc-4d7b-9fde-62a7eefb5984,Westminster Hall
uk_1_11012012,,https://hansard.parliament.uk/html/commons/2012-01-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/846974f1-0791-47f1-ac08-2d5cacdd0bac,11012012_Westminster,uk_24_11012012,https://www.parliamentlive.tv/Event/Index/49f45fdc-5232-4705-8ec6-8a6e6c060064,Westminster Hall
uk_0_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/2b869acf-b5d9-406c-a520-e23aa4bdc0d2,12012012_Commons,uk_21_12012012,https://www.parliamentlive.tv/Event/Index/24dbbaa7-639b-41c2-af5b-ef579b36be94,House of Commons
uk_1_12012012,,https://hansard.parliament.uk/html/commons/2012-01-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/100db0f1-5a63-4331-bf22-e67f98ebbf3c,12012012_Westminster,uk_20_12012012,https://www.parliamentlive.tv/Event/Index/dd0809bc-a2ed-4d28-8091-b739a5b8c39b,Westminster Hall
uk_0_16012012,,https://hansard.parliament.uk/html/commons/2012-01-16/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/221e51b3-f1d7-4ad5-b511-693a423234da,16012012_Commons,uk_19_16012012,https://www.parliamentlive.tv/Event/Index/c645e530-a9c1-475d-a508-d81be42f4f9e,House of Commons
uk_0_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1156a8b5-73ab-4b99-bb8a-b0384573b904,17012012_Commons,uk_17_17012012,https://www.parliamentlive.tv/Event/Index/bb952a0a-9760-4e4a-b813-47497f1c4a3f,House of Commons
uk_1_17012012,,https://hansard.parliament.uk/html/commons/2012-01-17/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/80b40fc2-12fe-4eeb-bcc7-d9c948c637fe,17012012_Westminster,uk_18_17012012,https://www.parliamentlive.tv/Event/Index/37913a06-6456-4912-82b6-13efecd71c3b,Westminster Hall
uk_0_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/5442651c-7e70-4f2c-92d7-e60cda91f167,18012012_Commons,uk_15_18012012,https://www.parliamentlive.tv/Event/Index/c2995259-618b-4907-80d8-30689b1b5fa0,House of Commons
uk_1_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/f36db0c4-2da1-43b0-a2b8-8ae981b5c187,18012012_Westminster,uk_14_18012012,https://www.parliamentlive.tv/Event/Index/6f98203c-233c-498e-a59d-4d9ad8629e3f,Westminster Hall
uk_1_18012012,,https://hansard.parliament.uk/html/commons/2012-01-18/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/f36db0c4-2da1-43b0-a2b8-8ae981b5c187,18012012_Westminster,uk_16_18012012,https://www.parliamentlive.tv/Event/Index/11eafcf4-b4c2-42cb-882d-ab6830b05dcb,Westminster Hall
uk_0_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/c55d3bcf-08d0-46b5-97b1-5d2056a9dd0d,19012012_Commons,uk_13_19012012,https://www.parliamentlive.tv/Event/Index/50420b4a-26c1-4b40-a397-1b33e75f1a8c,House of Commons
uk_1_19012012,,https://hansard.parliament.uk/html/commons/2012-01-19/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/21176546-4a90-4f9e-9910-6fbc77303075,19012012_Westminster,uk_12_19012012,https://www.parliamentlive.tv/Event/Index/60eec18b-a352-4d99-96b6-5d160c81997b,Westminster Hall
uk_0_20012012,,https://hansard.parliament.uk/html/commons/2012-01-20/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/043a6540-fda5-4105-8f6e-3955b1379202,20012012_Commons,uk_11_20012012,https://www.parliamentlive.tv/Event/Index/9cd709e8-0b3d-4d9e-9c23-2f5a96c2c2ed,House of Commons
uk_0_23012012,,https://hansard.parliament.uk/html/commons/2012-01-23/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/d813a856-b0a9-47ba-bdb5-b6183f7e59af,23012012_Commons,uk_10_23012012,https://www.parliamentlive.tv/Event/Index/4b8134d6-1617-464a-82d6-10f4acd0d2d8,House of Commons
