video_id,generic_video_link,location
uk_0_18122007,https://www.parliamentlive.tv/Event/Index/c6074ef6-9146-4d18-8dc2-1f4827c9e8c7,Westminster Hall
uk_1_18122007,https://www.parliamentlive.tv/Event/Index/ce0524cb-6b53-444a-8cb9-9556d900468b,House of Commons
uk_2_18122007,https://www.parliamentlive.tv/Event/Index/186a6024-9c0c-4e2c-a1f9-90cc0132d21d,Westminster Hall
uk_3_17122007,https://www.parliamentlive.tv/Event/Index/b4a8efb4-e2e6-40cb-8d31-b174b40f08e4,House of Commons
uk_4_13122007,https://www.parliamentlive.tv/Event/Index/f017db0b-d5f5-4dc8-9850-a7d99b8e47ad,Westminster Hall
uk_5_13122007,https://www.parliamentlive.tv/Event/Index/e89fb490-4579-42f7-a630-d002038d4bec,House of Commons
uk_6_12122007,https://www.parliamentlive.tv/Event/Index/cfc38a1d-88ad-4628-bf5f-160421d32675,Westminster Hall
uk_7_12122007,https://www.parliamentlive.tv/Event/Index/a1241dbd-8afd-420c-a711-e33642db076e,House of Commons
uk_8_12122007,https://www.parliamentlive.tv/Event/Index/c6fb7617-9101-402d-a916-b1410f742360,Westminster Hall
uk_9_11122007,https://www.parliamentlive.tv/Event/Index/e6cc8bf3-9c52-447d-8248-586594f31dff,House of Commons
uk_10_11122007,https://www.parliamentlive.tv/Event/Index/ec092fbc-3df5-4631-80d5-01743bcf7744,Westminster Hall
uk_11_10122007,https://www.parliamentlive.tv/Event/Index/f549e36f-da93-4123-96fc-f67c8e6d11a5,House of Commons
uk_12_06122007,https://www.parliamentlive.tv/Event/Index/f9903391-bee6-4d51-b9f7-666e75e12cae,Westminster Hall
uk_13_06122007,https://www.parliamentlive.tv/Event/Index/f4debb50-e07e-4592-afa9-d2dcb0428a2e,House of Commons
uk_14_05122007,https://www.parliamentlive.tv/Event/Index/5397ab35-4ad1-4cf5-aca7-b8f2d2ee6cbd,Westminster Hall
uk_15_05122007,https://www.parliamentlive.tv/Event/Index/9bdf6af5-0bda-4460-9020-a2cddd8d5c71,House of Commons
uk_16_05122007,https://www.parliamentlive.tv/Event/Index/de667948-88ea-4211-8511-a83bb1ebd322,Westminster Hall
uk_17_04122007,https://www.parliamentlive.tv/Event/Index/3731c5fa-ada0-45b5-af36-383d426ca6a5,House of Commons
uk_0_31012008,https://www.parliamentlive.tv/Event/Index/45819921-7536-4452-b162-525c374a7138,Westminster Hall
uk_1_31012008,https://www.parliamentlive.tv/Event/Index/9d1fbf9f-93bc-4bc0-b2d1-4545c634d0a5,House of Commons
uk_2_30012008,https://www.parliamentlive.tv/Event/Index/967c875b-adc3-4001-a6a2-495bcccec53f,Westminster Hall
uk_3_30012008,https://www.parliamentlive.tv/Event/Index/c8b72f37-ecb3-4f1b-bb2f-2f76370fa376,House of Commons
uk_4_30012008,https://www.parliamentlive.tv/Event/Index/2d639fbd-d02f-4555-88c2-b6c6d5af0dd6,Westminster Hall
uk_5_29012008,https://www.parliamentlive.tv/Event/Index/475d6ae7-5ec6-4f54-90fa-fc62cf5a11f7,House of Commons
uk_6_29012008,https://www.parliamentlive.tv/Event/Index/f6279557-decf-4bef-98b2-56d5df30f3d7,Westminster Hall
uk_7_28012008,https://www.parliamentlive.tv/Event/Index/f30153f7-02b1-4027-a0f5-7ca7071c36c4,House of Commons
uk_8_25012008,https://www.parliamentlive.tv/Event/Index/b24f037c-6380-4b1e-a32d-0f57952eebf1,House of Commons
uk_9_24012008,https://www.parliamentlive.tv/Event/Index/7fcc9b52-0e24-4dbe-a29f-7c1855286dc9,Westminster Hall
uk_10_24012008,https://www.parliamentlive.tv/Event/Index/f4f1c21c-32e3-4a7f-8eec-559806656d20,House of Commons
uk_11_23012008,https://www.parliamentlive.tv/Event/Index/c5516e00-721e-4494-8a21-6e20b727834a,Westminster Hall
uk_12_23012008,https://www.parliamentlive.tv/Event/Index/8f54add4-e3bf-4ba0-bc8b-b81f51f5a164,House of Commons
uk_13_23012008,https://www.parliamentlive.tv/Event/Index/a4f6963a-b7ee-4690-888f-06cdcb4a4859,Westminster Hall
uk_14_22012008,https://www.parliamentlive.tv/Event/Index/3937d261-65d4-4e44-9e61-3f55701b28be,House of Commons
uk_15_22012008,https://www.parliamentlive.tv/Event/Index/0f77d716-22f8-4aeb-a853-e4943e5453c5,Westminster Hall
uk_16_21012008,https://www.parliamentlive.tv/Event/Index/d17dfd35-70ae-4cac-b399-56d625eeeca7,House of Commons
uk_17_17012008,https://www.parliamentlive.tv/Event/Index/2f23ee6e-357e-4362-bd61-0d99c911d42b,Westminster Hall
uk_18_17012008,https://www.parliamentlive.tv/Event/Index/e0a01cfa-3d6f-4929-b52f-39219659518d,House of Commons
uk_19_16012008,https://www.parliamentlive.tv/Event/Index/e08be585-25b9-4dab-859d-1c760ced0850,Westminster Hall
uk_20_16012008,https://www.parliamentlive.tv/Event/Index/8ce777a6-98e0-411d-978b-c9da2c7e23c7,House of Commons
uk_21_16012008,https://www.parliamentlive.tv/Event/Index/e335a6b1-57a6-472a-91dc-52c4d761f11f,Westminster Hall
uk_22_15012008,https://www.parliamentlive.tv/Event/Index/e55fd649-6833-4f66-a550-3992b8d660db,House of Commons
uk_23_15012008,https://www.parliamentlive.tv/Event/Index/4b409236-a1a9-4dbc-96de-f7f089421d37,Westminster Hall
uk_24_14012008,https://www.parliamentlive.tv/Event/Index/9e4e38c0-e955-4862-acd2-4383d30733f9,House of Commons
uk_25_10012008,https://www.parliamentlive.tv/Event/Index/a45356f9-4b7d-4022-b2ea-14009fb6b814,Westminster Hall
uk_26_10012008,https://www.parliamentlive.tv/Event/Index/27dcf2a9-0a43-4df9-a9af-80ca609784a2,House of Commons
uk_27_09012008,https://www.parliamentlive.tv/Event/Index/57ec541a-f4cb-4af1-bb58-eb9250ad617c,Westminster Hall
uk_28_09012008,https://www.parliamentlive.tv/Event/Index/79a7733b-eb48-4add-a0cf-85e1abe2a281,House of Commons
uk_29_09012008,https://www.parliamentlive.tv/Event/Index/676a8e33-5665-4305-8a4a-ff310b34ef2c,Westminster Hall
uk_30_08012008,https://www.parliamentlive.tv/Event/Index/20eb98e9-f852-48f5-be48-f993a54536bf,House of Commons
uk_31_08012008,https://www.parliamentlive.tv/Event/Index/86295e9c-d44c-4dfc-991c-28a904b0abbb,Westminster Hall
uk_32_07012008,https://www.parliamentlive.tv/Event/Index/66841b5a-3cb9-4440-8101-85a95719c292,House of Commons
uk_0_29022008,https://www.parliamentlive.tv/Event/Index/c723b19e-02d0-4617-b990-4de304a54c13,House of Commons
uk_1_28022008,https://www.parliamentlive.tv/Event/Index/8e29a4b1-1826-48bd-a94c-2c499f3ff059,Westminster Hall
uk_2_28022008,https://www.parliamentlive.tv/Event/Index/cbd23fc3-16e8-46d1-8ae5-0a2cde730028,House of Commons
uk_3_27022008,https://www.parliamentlive.tv/Event/Index/2b51fb42-da0d-4ae2-90b7-777f1abc6980,Westminster Hall
uk_4_27022008,https://www.parliamentlive.tv/Event/Index/b7769dc1-de59-4a86-b66f-859bb912249b,House of Commons
uk_5_27022008,https://www.parliamentlive.tv/Event/Index/564cad6c-7ed5-4a4c-b40e-045fe55cce05,Westminster Hall
uk_6_26022008,https://www.parliamentlive.tv/Event/Index/fe4fdade-dfea-4dec-af5a-7d592e2be5b3,House of Commons
uk_7_26022008,https://www.parliamentlive.tv/Event/Index/a1828a90-87c9-499e-9b0b-bf5c83adfe4d,Westminster Hall
uk_8_25022008,https://www.parliamentlive.tv/Event/Index/800c3f4b-7727-485a-9a18-b14eb6769ac3,House of Commons
uk_9_22022008,https://www.parliamentlive.tv/Event/Index/997e064e-d482-4c42-9ee8-20c66a1a7104,House of Commons
uk_10_21022008,https://www.parliamentlive.tv/Event/Index/e2cfdbe5-31af-4c5b-9be1-e4a34f4e55fd,Westminster Hall
